object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,_source,_sourceId,_sourceType,_url,_imageUrl,_accessionNumber,_onView,_classification,_startYear,_dates,_endYear,_image_valid
225892,Four Horsemen of the Apocalypse (32),2023,Photograph,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225892,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2023.60.jpg,,,2023.60,2026-05-27,sanity,225892,collectionObject,https://www.brooklynmuseum.org/objects/225892,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2023.60.jpg,2023.60,False,Photograph,2023,2023,2023,
225495,Getting Reuben’s tuition book,2023,Textile,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225495,https://brooklynmuseum.b-cdn.net/collections/objects/2023.39_overall_PS22.jpg,,,2023.39,2026-05-27,sanity,225495,collectionObject,https://www.brooklynmuseum.org/objects/225495,https://brooklynmuseum.b-cdn.net/collections/objects/2023.39_overall_PS22.jpg,2023.39,False,Textile,2023,2023,2023,
225769,Ennui Gently Receives Single Date in Earth’s Tiniest Maw,2023,Furniture,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225769,https://brooklynmuseum.b-cdn.net/collections/objects/2023.58_overall_PS20.jpg,,,2023.58,2026-05-27,sanity,225769,collectionObject,https://www.brooklynmuseum.org/objects/225769,https://brooklynmuseum.b-cdn.net/collections/objects/2023.58_overall_PS20.jpg,2023.58,True,Furniture,2023,2023,2023,
225658,Dorothy,2023,Sculpture,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225658,https://brooklynmuseum.b-cdn.net/collections/objects/2023.78_overall01_PS22.jpg,,,2023.78,2026-05-27,sanity,225658,collectionObject,https://www.brooklynmuseum.org/objects/225658,https://brooklynmuseum.b-cdn.net/collections/objects/2023.78_overall01_PS22.jpg,2023.78,True,Sculpture,2023,2023,2023,
226382,From the series “To the Ends of the Earth”,2023,Photograph,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/226382,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2025.9.1_Jeanette_Spicer.jpg,,,2025.9.1,2026-05-27,sanity,226382,collectionObject,https://www.brooklynmuseum.org/objects/226382,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2025.9.1_Jeanette_Spicer.jpg,2025.9.1,False,Photograph,2023,2023,2023,
226383,From the series “To the Ends of the Earth”,2023,Photograph,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/226383,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2025.9.2_Jeanette_Spicer.jpg,,,2025.9.2,2026-05-27,sanity,226383,collectionObject,https://www.brooklynmuseum.org/objects/226383,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2025.9.2_Jeanette_Spicer.jpg,2025.9.2,False,Photograph,2023,2023,2023,
225656,Portrait with a Donkey,2023,Painting,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225656,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2024.16_Adam_Reich.jpg,,,2024.16,2026-05-27,sanity,225656,collectionObject,https://www.brooklynmuseum.org/objects/225656,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2024.16_Adam_Reich.jpg,2024.16,True,Painting,2023,2023,2023,
225877,Natural Idiot Strings,2023,Screen,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225877,https://brooklynmuseum.b-cdn.net/collections/objects/2024.58a-l_PS22.jpg,,,2024.58a-l,2026-05-27,sanity,225877,collectionObject,https://www.brooklynmuseum.org/objects/225877,https://brooklynmuseum.b-cdn.net/collections/objects/2024.58a-l_PS22.jpg,2024.58a-l,True,Screen,2023,2023,2023,
226551,Jackal Brings a New Era,2023,Painting,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/226551,https://brooklynmuseum.b-cdn.net/collections/objects/2024.18_cropped_PS22.jpg,,,2024.18,2026-05-27,sanity,226551,collectionObject,https://www.brooklynmuseum.org/objects/226551,https://brooklynmuseum.b-cdn.net/collections/objects/2024.18_cropped_PS22.jpg,2024.18,True,Painting,2023,2023,2023,
225861,Untitled,2023,Signage,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225861,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2024.42_overall01_David_Kordansky_Gallery.jpg,,,2024.42,2026-05-27,sanity,225861,collectionObject,https://www.brooklynmuseum.org/objects/225861,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2024.42_overall01_David_Kordansky_Gallery.jpg,2024.42,False,Signage,2023,2023,2023,
226575,She Herself is a Haunted House,2023,Painting,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/226575,https://brooklynmuseum.b-cdn.net/collections/objects/2024.19_cropped_PS22.jpg,,,2024.19,2026-05-27,sanity,226575,collectionObject,https://www.brooklynmuseum.org/objects/226575,https://brooklynmuseum.b-cdn.net/collections/objects/2024.19_cropped_PS22.jpg,2024.19,False,Painting,2023,2023,2023,
226920,"Gluttony, Gluttony, Gluttony",2023,Sculpture,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/226920,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.TL2025.36_Kavi_Gupta_Gallery.jpg,,,2025.74a-c,2026-05-27,sanity,226920,collectionObject,https://www.brooklynmuseum.org/objects/226920,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.TL2025.36_Kavi_Gupta_Gallery.jpg,2025.74a-c,False,Sculpture,2023,2023,2023,
225894,Meedo Wallpaper,2023,Work on Paper,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225894,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2024.64_Wexler_Gallery.jpg,,,2024.64,2026-05-27,sanity,225894,collectionObject,https://www.brooklynmuseum.org/objects/225894,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2024.64_Wexler_Gallery.jpg,2024.64,True,Work on Paper,2023,2023,2023,
226695,A Stroll to the Cliffs,2023,Work on Paper,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/226695,https://brooklynmuseum.b-cdn.net/collections/objects/2025.48.1_cropped_PS22.jpg,,,2025.48.1,2026-05-27,sanity,226695,collectionObject,https://www.brooklynmuseum.org/objects/226695,https://brooklynmuseum.b-cdn.net/collections/objects/2025.48.1_cropped_PS22.jpg,2025.48.1,False,Work on Paper,2023,2023,2023,
226206,"Tales of Moonlight Bench with Bowl, from the series Oriki (Act II): Tales by Moonlight",2023,Furnishing,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/226206,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2025.6_VERSO.jpg,,,2025.6,2026-05-27,sanity,226206,collectionObject,https://www.brooklynmuseum.org/objects/226206,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2025.6_VERSO.jpg,2025.6,True,Furnishing,2023,2023,2023,
225768,World History I (Drum),2023,Furniture,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225768,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2023.57_overall01.jpeg,,,2023.57,2026-05-27,sanity,225768,collectionObject,https://www.brooklynmuseum.org/objects/225768,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2023.57_overall01.jpeg,2023.57,True,Furniture,2023,2023,2023,
225929,Downdraft,2023,Sculpture,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225929,https://brooklynmuseum.b-cdn.net/collections/objects/2024.66.1_overall01_PS22.jpg,,,2024.66.1,2026-05-27,sanity,225929,collectionObject,https://www.brooklynmuseum.org/objects/225929,https://brooklynmuseum.b-cdn.net/collections/objects/2024.66.1_overall01_PS22.jpg,2024.66.1,True,Sculpture,2023,2023,2023,
226487,"350,000",2023,Media,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/226487,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2025.37_in_situ01_Sean_Kelly_New_York_Adam_Reich.jpg,,,2025.37,2026-05-27,sanity,226487,collectionObject,https://www.brooklynmuseum.org/objects/226487,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2025.37_in_situ01_Sean_Kelly_New_York_Adam_Reich.jpg,2025.37,False,Media,2023,2023,2023,
225513,Leave! Leave Now!,2022,Media Art,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225513,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2023.64.jpg,,,2023.64,2026-05-27,sanity,225513,collectionObject,https://www.brooklynmuseum.org/objects/225513,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2023.64.jpg,2023.64,False,Media Art,2022,2022,2022,
225429,"Though it May Hurt, Thus Shall You Grow",2022,Painting,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225429,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2023.24a-b_overall01.jpg,,,2023.24a-b,2026-05-27,sanity,225429,collectionObject,https://www.brooklynmuseum.org/objects/225429,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2023.24a-b_overall01.jpg,2023.24a-b,False,Painting,2022,2022,2022,
225000,"Sayonara, Suzie Wongs, aka: Out the Opium Den",2022,Print,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225000,https://brooklynmuseum.b-cdn.net/collections/objects/2022.26.1_PS11.jpg,,,2022.26.1,2026-05-27,sanity,225000,collectionObject,https://www.brooklynmuseum.org/objects/225000,https://brooklynmuseum.b-cdn.net/collections/objects/2022.26.1_PS11.jpg,2022.26.1,False,Print,2022,2022,2022,
224943,The Unburied Sounds of a Troubled Horizon,2022,Media,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/224943,,,,2022.12,2026-05-27,sanity,224943,collectionObject,https://www.brooklynmuseum.org/objects/224943,,2022.12,False,Media,2022,2022,2022,False
225738,Infinity: Soft Grid with Necklaces and Drips,2022,Sculpture,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225738,,,,2024.36,2026-05-27,sanity,225738,collectionObject,https://www.brooklynmuseum.org/objects/225738,,2024.36,False,Sculpture,2022,2022,2022,False
224943,The Unburied Sounds of a Troubled Horizon,2022,Media,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/224943,,,,2022.12,2026-05-27,sanity,224943,collectionObject,https://www.brooklynmuseum.org/objects/224943,,2022.12,False,Media,2022,2022,2022,False
225738,Infinity: Soft Grid with Necklaces and Drips,2022,Sculpture,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225738,,,,2024.36,2026-05-27,sanity,225738,collectionObject,https://www.brooklynmuseum.org/objects/225738,,2024.36,False,Sculpture,2022,2022,2022,False
225139,"U.S. Capital Attack, January 6, 2021, Buildings of Disaster Series",2022,Sculpture,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225139,https://brooklynmuseum.b-cdn.net/collections/objects/2022.46_threequarter_PS20.jpg,,,2022.46,2026-05-27,sanity,225139,collectionObject,https://www.brooklynmuseum.org/objects/225139,https://brooklynmuseum.b-cdn.net/collections/objects/2022.46_threequarter_PS20.jpg,2022.46,False,Sculpture,2022,2022,2022,
225001,She is the Mourning,2022,Print,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225001,,,,2022.26.2,2026-05-27,sanity,225001,collectionObject,https://www.brooklynmuseum.org/objects/225001,,2022.26.2,False,Print,2022,2022,2022,False
225296,"Old Gloried Hole, aka: Ends of Empire",2022,Painting,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225296,,,,2023.1,2026-05-27,sanity,225296,collectionObject,https://www.brooklynmuseum.org/objects/225296,,2023.1,False,Painting,2022,2022,2022,False
225515,The North Star,2022,Print,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/225515,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2023.71a-g.jpg,,,2023.71a-g,2026-05-27,sanity,225515,collectionObject,https://www.brooklynmuseum.org/objects/225515,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2023.71a-g.jpg,2023.71a-g,False,Print,2022,2022,2022,
