object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,_culture,_findspot,_object_name_detail,_image_valid
OA+.3880,adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_OA-3880,https://media.britishmuseum.org/Repository/Documents/2025_12/31_13/1049865c_e886_448c_b5db_b3c400da48c5/large_As_7102_1.jpg,,Found/Acquired: Yunnan (province),OA+.3880,2026-05-27,,Found/Acquired: Yunnan (province),adze,
As.7093,adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_As-7093,https://media.britishmuseum.org/Repository/Documents/2024_6/16_5/c015c40b_ec43_4073_9021_b1910060ae79/large_IMG_1289.jpg,,Found/Acquired: Yunnan (province),As.7093,2026-05-27,,Found/Acquired: Yunnan (province),adze,
OA+.3878,adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_OA-3878,https://media.britishmuseum.org/Repository/Documents/2024_6/16_5/f02c165a_718e_4c7c_a17f_b191005fafa5/large_IMG_1288.jpg,,Found/Acquired: Yunnan (province),OA+.3878,2026-05-27,,Found/Acquired: Yunnan (province),adze,
"1979,1012.24",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-24,,,Found/Acquired: Swabue,"1979,1012.24",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.18",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-18,,,Found/Acquired: Swabue,"1979,1012.18",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.19",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-19,,,Found/Acquired: Swabue,"1979,1012.19",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.20",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-20,,,Found/Acquired: Swabue,"1979,1012.20",2026-05-27,,Found/Acquired: Swabue,adze,False
"1959,0216.16",adze,5000BC-3000BC,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1959-0216-16,https://media.britishmuseum.org/Repository/Documents/2014_11/1_3/b3db1707_8c8a_4165_92db_a3d600330396/large_01048677_001.jpg,,Found/Acquired: Buzhaohai,"1959,0216.16",2026-05-27,,Found/Acquired: Buzhaohai,adze,
"1979,1012.6",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-6,,,Found/Acquired: Swabue,"1979,1012.6",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.36",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-36,,,Found/Acquired: Swabue,"1979,1012.36",2026-05-27,,Found/Acquired: Swabue,adze,False
