object_id,aligned_artist
70763,China
68711,Manchu
12529,China
69172,China
5003,China
22737,"Edouard Vuillard (French, 1868-1940)"
9624,Paul Gavarni
12794,"China; probably from Zhengzhou, Henan province"
18007,China
34873,China
18235,China
71199,China
109185,James McNeill Whistler
139488,James McNeill Whistler
139593,"Whistler, James McNeill"
137971,James McNeill Whistler
259168,"Crown Derby (England, founded 1750)"
259170,"Copeland (Stoke-on-Trent, England, 1833-1970)"
132148,China
70392,China
142529,China
2525,China
21295,China
21772,China
28444,China
12602,China
14335,"Paul Gauguin (French, 1848-1903)"
26091,China
86744,China
53282,China
58180,China
83154,China
133709,China; probably from Henan province
21658,China
22068,Han-Chinese
14276,Manchu
16397,China
79470,Odilon Redon
263669,Saul Steinberg
263943,Santu Mofokeng
69827,China
6580,Henri Joseph Harpignies
14326,"Paul Gauguin (French, 1848-1903)"
33964,China
25230,"Porcelain: Jingdezhen, China; mounts: probably London"
21698,China
89468,China
82294,China
14331,"Paul Gauguin (French, 1848-1903)"
12352,China
80912,China
70091,China
46261,China
69959,China
80721,"Édouard Manet (French, 1832-1883)"
12588,China
14314,"Paul Gauguin (French, 1848-1903)"
21508,China
80777,China
80879,Camille Pissarro
21319,China
12344,China
84370,Henri Matisse
52949,China
21286,China
92911,China
142530,China
14323,"Paul Gauguin (French, 1848-1903)"
12514,China
199165,Josef Sudek
79336,Odilon Redon
39774,Manchu
69770,China
42390,China
12470,China
86747,China
86599,China
259158,"Probably Minton (Stoke-on-Trent, England, founded 1793)"
259169,"Probably designed by Christopher Dresser (English, born Scotland, 1834-1904)"
259178,Designed by Thomas Blocksidge (English)
6775,Han-Chinese
14809,China
105530,China
21251,China
109223,China
22715,"Edouard Vuillard (French, 1868-1940)"
70095,China
110866,China
12721,China
12346,Manchu
80904,China
37716,China; probably from Henan province
63392,"Jean François Millet (French, 1814-1875)"
21594,China
193827,"Henri Martin (French, 1860-1943)"
13033,Rodolphe Bresdin
14852,China
105494,Gustave Doré
55821,China
180536,China
53532,China
21203,China
12537,China
21678,China
21734,China
33933,China
2606,China
70088,China
12241,Eugène Carrière
87714,China
200630,Henri Matisse
17996,China
147031,China
21346,China
28128,China
221163,China
11435,Han
11091,China
22735,"Edouard Vuillard (French, 1868-1940)"
35364,China
21413,China
80898,China
79332,Odilon Redon
79459,Odilon Redon
111081,Edouard Jean Vuillard
21499,China
86415,China
117775,China
8209,"Lan Ying (Chinese, 1585-c. 1664)"
7788,China (for the American market)
42187,China
33098,China
12679,China
21254,China
70757,China
42215,China
21312,China
36419,John Thomson
58053,China
69683,China
69700,China
68980,China
86754,China
72589,China
21558,China
260222,"Probably designed by Christopher Dresser (English, born Scotland, 1834-1904)"
260223,"Probably designed by Christopher Dresser (English, born Scotland, 1834-1904)"
259162,"Worcester Porcelain Factory (Worcester, England, founded 1751)"
259174,"Probably designed by Christopher Dresser (English, born Scotland, 1834-1904)"
55926,Joseph Yoakum
42806,China; Jiangxi province
33942,China or Mongolia
15737,China
12663,China
56142,China
138456,Otto Henry Bacher
12069,"China, probably Guangdong or Guangxi province"
60878,China
79347,Odilon Redon
81842,Manchu
12236,China
68978,China
79249,Odilon Redon
12305,China
11151,China
45804,Leopoldo Méndez
11999,Eugène Delacroix
41426,Gao Yang （高陽）
79317,Odilon Redon
21681,China
73256,China
80887,China
69937,China
81954,Marc Chagall
33936,China or Mongolia
27669,"Paul Gauguin (French, 1848-1903)"
182864,Chen Xuhai
2481,China
65922,China
183893,China
21887,China
22212,China
182783,A Ge
14280,Han-Chinese
82164,Jean Louis Forain
186745,Leopoldo Méndez
54714,Henri Matisse
12696,China
103303,"China, from the pagoda at Xiuding Si (Xiuding Temple) at Mount Qingliang, near Anyang, Henan province"
150152,Han-Chinese
7832,China
89836,China
105591,China
79223,Odilon Redon
187047,Chen Wu (陳武)
69605,China
69708,China
79453,Odilon Redon
79362,Odilon Redon
70164,China
68989,China
65889,China
13836,China
59752,Pierre Bonnard
21180,China
151599,Manchu
69019,China
70059,China
276595,Irving Penn
47283,Han-Chinese
277820,China
259161,"Minton (Stoke-on-Trent, England, founded 1793)"
259163,"Worcester Porcelain Factory (Worcester, England, founded 1751)"
259164,"Painted by William Mussill (Austrian, active in France and England, 1828-1906)"
259165,"Minton (Stoke-on-Trent, England, founded 1793)"
259166,"Probably designed by Christopher Dresser (English, born Scotland, 1834-1904)"
259172,"Minton (Stoke-on-Trent, England, founded 1793)"
259175,"Probably designed by Christopher Dresser (English, born Scotland, 1834-1904)"
259176,"Minton (Stoke-on-Trent, England, founded 1793)"
259177,"Minton (Stoke-on-Trent, England, founded 1793)"
259173,"Minton (Stoke-on-Trent, England, founded 1793)"
75310,China; probably Shaanxi province
105937,China; probably from Henan province
21521,China
37722,China
21549,China
70045,China
70330,China
22671,"Pierre Bonnard (French, 1867-1947)"
21585,China
21591,China
8064,Rodolphe Bresdin
69638,China
69744,China
117554,"China, probably from the Cisheng Si (Cisheng temple), Henan province"
17305,China
20435,"Paul Gauguin (French, 1848-1903)"
73230,China
75903,China
186741,Leopoldo Méndez
233321,"Thom Mayne (American, born 1944)"
36691,China
111140,China
21274,China
21397,China
76243,China
32539,China
21252,Jean François Millet
21692,China
70205,China
68697,China
5833,China
75946,China
152839,China
182989,Zhao Xiaomo
186728,Leopoldo Méndez
78836,Henri Matisse
139230,"José Guadalupe Posada (Mexican, 1852-1913)"
58156,China
8084,Rodolphe Bresdin
106598,Odilon Redon
12748,China
25999,China
182862,Chao Mei
48982,China
31935,China
71015,China
76275,Zhu Yu (Zhu Junbi) 朱玉（朱君璧）
73239,China
68731,China
236098,China
58340,Reginald Marsh
86750,China
70191,China
158104,China
186735,Leopoldo Méndez
49817,Jean François Millet
42386,China
69572,China
180532,China
10495,Manchu
111367,"Édouard Manet (French, 1832-1883)"
42112,China
259159,Royal Worcester Porcelain Factory (1751–2009)
259160,"Minton (Stoke-on-Trent, England, founded 1793)"
279375,"Minton (English, founded 1793)"
21629,China
9819,China
12077,China
79492,Odilon Redon
21518,China
33945,China
86418,China
68868,China
120578,China
36825,Edouard Jean Vuillard
21632,China
11094,China
69506,China
86491,China
22490,China
7791,China
12248,Henri Fantin-Latour
8986,"China, for the Thai Market"
129408,William Merritt Chase
16393,China
56801,China
58900,China
159683,China
7419,Eugène Delacroix
83673,Henri Matisse
42213,China
21604,China
69812,China
13455,"Shen Zhou 沈周 (Chinese, 1427-1509)"
86661,China
62536,"Wen Zhengming 文徵明 (Chinese, 1470-1559)"
45668,Charles Émile Jacque
20434,"Paul Gauguin (French, 1848-1903)"
21430,China; probably Shaanxi province
23500,China
43097,China
69931,China
180135,China
182865,Chen Yuping
40558,"Tang Yin 唐寅 (Chinese, 1470-1523)"
65904,China
153627,China
79326,Odilon Redon
117596,John Constable
79507,Yao Shou
75317,"Chen Jiayan 陳嘉言 (Chinese, 1539-after 1625)"
84123,Tang Yin
150406,"Attributed to Dai Jin (Chinese, c.1388-1462)"
42195,China
53535,China
69752,China
21683,China
21125,China
20635,China
193002,China
12509,"Attributed to He Chaozong (Chinese, active around 1600)"
28161,China
12896,Alexandre Gabriel Decamps
12672,China
70006,China
69008,China
80239,Dirck Stoop
61041,"August Gaber (German, 1823-1891)"
42440,China
17459,China
64836,China
147469,Made at Suzhou Embroidery Research Institute
2514,China
68754,China
70680,China
25640,China
12317,Cai Jia
11703,China or Tibet
22899,Alexandre Gabriel Decamps
22865,China
80914,China
83677,Henri Matisse
49798,Jean François Millet
31202,China
26953,China
55213,China
53194,China
22075,Han-Chinese
131979,"Claude Ferdinand Gaillard (French, 1834-1887)"
186751,Leopoldo Méndez
80377,China
35957,Manchu
109503,Rodolphe Bresdin
57654,China; probably Shaanxi province
62583,China
36798,Henri Matisse
17244,"Edvard Munch (Norwegian, 1863-1944)"
28350,China
180725,"Timothy Cole (American, born England, 1852-1931)"
83022,"George Knapton (English, 1698-1778)"
230189,Tai Xiangzhou
53276,China
69558,China
15579,"China, probably Hebei province"
7843,China
65892,China
68898,China
193050,China
160040,Wenceslaus Hollar
58904,"China, probably Jingdezhen, Jiangxi province"
21731,China
58116,China
9579,"Jean Baptiste Isabey (French, 1767-1855)"
12165,China
68840,China
111364,"Édouard Manet (French, 1832-1883)"
45433,Leopoldo Méndez
21457,China
42836,China
69719,China
68941,China
69324,China
105549,China
193334,Wucius Wong
13451,"Luo Mu 羅牧 (Chinese, 1622-1706)"
186779,Leopoldo Méndez
147883,China
193025,China
55833,China
10244,Otto Henry Bacher
43942,Honoré Victorin Daumier
21806,Chen Mingyuan
24113,Manchu
60348,China
104305,Marie Laurencin
79585,Odilon Redon
147623,Théodore Caruelle d'Aligny
21648,China
27659,China
69574,China
7649,Rodolphe Bresdin
49406,"Félicien Rops (Belgian, 1833-1898)"
12543,China
180200,China
148422,China
3316,China
189161,Wucius Wong
49843,"Jacques Adrien Lavieille (French, 1818-1862)"
21662,China
53279,China
60339,China
55848,Manchu
20349,Henri Matisse
79219,Odilon Redon
69961,China
73244,China
105529,China
159686,China
51502,Félicien Rops
21323,China
21524,China
69798,China
69343,China
70693,China
7951,"Ker-Xavier Roussel (French, 1867-1944)"
79435,Odilon Redon
80720,"Hua Ziyou 華子宥 (Chinese, 19th century)"
35955,Henri de Toulouse-Lautrec
27580,China
69639,China
70229,China
69576,China
106589,Odilon Redon
109039,"Jean-Baptiste Lucien (French, c. 1748-1806)"
12608,China
89465,China
28203,China
69355,China
44101,Henri Fantin-Latour
42262,China
