name,uri
"Probably designed by Christopher Dresser (English, born Scotland, 1834-1904)",http://buct-kg.org/resource/artist/Probably_designed_by_Christopher_Dresser_English_born_Scotland_1834_1904
Designed by Thomas Blocksidge (English),http://buct-kg.org/resource/artist/Designed_by_Thomas_Blocksidge_English
"Jean François Millet (French, 1814-1875)",http://buct-kg.org/resource/artist/Jean_Fran_ois_Millet_French_1814_1875
"Henri Martin (French, 1860-1943)",http://buct-kg.org/resource/artist/Henri_Martin_French_1860_1943
Gustave Doré,http://buct-kg.org/resource/artist/Gustave_Dor
Han,http://buct-kg.org/resource/artist/Han
"Lan Ying (Chinese, 1585-c. 1664)",http://buct-kg.org/resource/artist/Lan_Ying_Chinese_1585_c_1664
China (for the American market),http://buct-kg.org/resource/artist/China_for_the_American_market
"Worcester Porcelain Factory (Worcester, England, founded 1751)",http://buct-kg.org/resource/artist/Worcester_Porcelain_Factory_Worcester_England_founded_1751
China or Mongolia,http://buct-kg.org/resource/artist/China_or_Mongolia
Otto Henry Bacher,http://buct-kg.org/resource/artist/Otto_Henry_Bacher
"China, probably Guangdong or Guangxi province",http://buct-kg.org/resource/artist/China_probably_Guangdong_or_Guangxi_province
Gao Yang （高陽）,http://buct-kg.org/resource/artist/Gao_Yang_高陽
Marc Chagall,http://buct-kg.org/resource/artist/Marc_Chagall
Chen Xuhai,http://buct-kg.org/resource/artist/Chen_Xuhai
A Ge,http://buct-kg.org/resource/artist/A_Ge
Jean Louis Forain,http://buct-kg.org/resource/artist/Jean_Louis_Forain
"China, from the pagoda at Xiuding Si (Xiuding Temple) at Mount Qingliang, near Anyang, Henan province",http://buct-kg.org/resource/artist/China_from_the_pagoda_at_Xiuding_Si_Xiuding_Temple_at_Mount_Qingliang_near_Anyang_Henan_province
Chen Wu (陳武),http://buct-kg.org/resource/artist/Chen_Wu_陳武
Irving Penn,http://buct-kg.org/resource/artist/Irving_Penn
"Minton (Stoke-on-Trent, England, founded 1793)",http://buct-kg.org/resource/artist/Minton_Stoke_on_Trent_England_founded_1793
"Painted by William Mussill (Austrian, active in France and England, 1828-1906)",http://buct-kg.org/resource/artist/Painted_by_William_Mussill_Austrian_active_in_France_and_England_1828_1906
China; probably Shaanxi province,http://buct-kg.org/resource/artist/China_probably_Shaanxi_province
"Pierre Bonnard (French, 1867-1947)",http://buct-kg.org/resource/artist/Pierre_Bonnard_French_1867_1947
"China, probably from the Cisheng Si (Cisheng temple), Henan province",http://buct-kg.org/resource/artist/China_probably_from_the_Cisheng_Si_Cisheng_temple_Henan_province
Jean François Millet,http://buct-kg.org/resource/artist/Jean_Fran_ois_Millet
Zhao Xiaomo,http://buct-kg.org/resource/artist/Zhao_Xiaomo
