name,uri,era
18th/19th century,http://buct-kg.org/resource/period/18th_19th_century,Unknown
Qing dynasty (c. 1867),http://buct-kg.org/resource/period/Qing_dynasty_c_1867,Unknown
Qing dynasty (c. 1904),http://buct-kg.org/resource/period/Qing_dynasty_c_1904,Unknown
Qing dynasty (c. 1644),http://buct-kg.org/resource/period/Qing_dynasty_c_1644,Unknown
Qing dynasty (c. 1818),http://buct-kg.org/resource/period/Qing_dynasty_c_1818,Unknown
Qing dynasty (c. 1895),http://buct-kg.org/resource/period/Qing_dynasty_c_1895,Unknown
Qing dynasty (c. 1845),http://buct-kg.org/resource/period/Qing_dynasty_c_1845,Unknown
Qing dynasty (c. 1900),http://buct-kg.org/resource/period/Qing_dynasty_c_1900,Unknown
Qing dynasty (c. 1951),http://buct-kg.org/resource/period/Qing_dynasty_c_1951,Unknown
Qing dynasty (c. 1853),http://buct-kg.org/resource/period/Qing_dynasty_c_1853,Unknown
Qing dynasty (c. 1907),http://buct-kg.org/resource/period/Qing_dynasty_c_1907,Unknown
Qing dynasty (c. 1959),http://buct-kg.org/resource/period/Qing_dynasty_c_1959,Unknown
Qing dynasty (c. 1863),http://buct-kg.org/resource/period/Qing_dynasty_c_1863,Unknown
6th/4th century B.C.,http://buct-kg.org/resource/period/6th_4th_century_B_C,Unknown
Qing dynasty (c. 1887),http://buct-kg.org/resource/period/Qing_dynasty_c_1887,Unknown
Ming dynasty (c. 1600),http://buct-kg.org/resource/period/Ming_dynasty_c_1600,Unknown
Qing dynasty (c. 1975),http://buct-kg.org/resource/period/Qing_dynasty_c_1975,Unknown
8thC-10thC,http://buct-kg.org/resource/period/8thC_10thC,Unknown
Qing dynasty (c. 1999),http://buct-kg.org/resource/period/Qing_dynasty_c_1999,Unknown
Qing dynasty (c. 1991),http://buct-kg.org/resource/period/Qing_dynasty_c_1991,Unknown
Qing dynasty (c. 5000),http://buct-kg.org/resource/period/Qing_dynasty_c_5000,Unknown
1stC BC,http://buct-kg.org/resource/period/1stC_BC,Unknown
Qing dynasty (c. 2010),http://buct-kg.org/resource/period/Qing_dynasty_c_2010,Unknown
19thC,http://buct-kg.org/resource/period/19thC,Unknown
Ming dynasty (c. 1621),http://buct-kg.org/resource/period/Ming_dynasty_c_1621,Unknown
Qing dynasty (c. 1937),http://buct-kg.org/resource/period/Qing_dynasty_c_1937,Unknown
Living collection,http://buct-kg.org/resource/period/Living_collection,Unknown
c. 490 BCE,http://buct-kg.org/resource/period/c_490_BCE,Unknown
mid-20th century,http://buct-kg.org/resource/period/mid_20th_century,Unknown
Qing dynasty (c. 1948),http://buct-kg.org/resource/period/Qing_dynasty_c_1948,Unknown
Qing dynasty (c. 1950),http://buct-kg.org/resource/period/Qing_dynasty_c_1950,Unknown
Greek period,http://buct-kg.org/resource/period/Greek_period,Ancient Greece
Qing dynasty (c. 2000),http://buct-kg.org/resource/period/Qing_dynasty_c_2000,Unknown
Qing dynasty (c. 1833),http://buct-kg.org/resource/period/Qing_dynasty_c_1833,Unknown
Qing dynasty (c. 1984),http://buct-kg.org/resource/period/Qing_dynasty_c_1984,Unknown
Roman Imperial period (27 BCE-476 CE),http://buct-kg.org/resource/period/Roman_Imperial_period_27_BCE_476_CE,Roman Empire
Qing dynasty (c. 1935),http://buct-kg.org/resource/period/Qing_dynasty_c_1935,Unknown
Early Classic Period,http://buct-kg.org/resource/period/Early_Classic_Period,Unknown
Ming dynasty (c. 1612),http://buct-kg.org/resource/period/Ming_dynasty_c_1612,Unknown
Qing dynasty (c. 1902),http://buct-kg.org/resource/period/Qing_dynasty_c_1902,Unknown
early 20th century,http://buct-kg.org/resource/period/early_20th_century,Unknown
Late Classic Period,http://buct-kg.org/resource/period/Late_Classic_Period,Unknown
early 3rd century CE,http://buct-kg.org/resource/period/early_3rd_century_CE,Unknown
Song dynasty (c. 1140),http://buct-kg.org/resource/period/Song_dynasty_c_1140,Unknown
Qing dynasty (c. 1657),http://buct-kg.org/resource/period/Qing_dynasty_c_1657,Unknown
Ming dynasty (c. 1514),http://buct-kg.org/resource/period/Ming_dynasty_c_1514,Unknown
Qing dynasty (c. 1996),http://buct-kg.org/resource/period/Qing_dynasty_c_1996,Unknown
early to mid-20th century,http://buct-kg.org/resource/period/early_to_mid_20th_century,Unknown
Late Intermediate Period,http://buct-kg.org/resource/period/Late_Intermediate_Period,Unknown
Early Intermediate Period,http://buct-kg.org/resource/period/Early_Intermediate_Period,Unknown
Qing dynasty (c. 1966),http://buct-kg.org/resource/period/Qing_dynasty_c_1966,Unknown
Qing dynasty (c. 1788),http://buct-kg.org/resource/period/Qing_dynasty_c_1788,Unknown
late 19th–early 20th century,http://buct-kg.org/resource/period/late_19th_early_20th_century,Unknown
Qing dynasty (c. 2009),http://buct-kg.org/resource/period/Qing_dynasty_c_2009,Unknown
Late Formative Period to Early Classic Period,http://buct-kg.org/resource/period/Late_Formative_Period_to_Early_Classic_Period,Unknown
Qing dynasty (c. 1972),http://buct-kg.org/resource/period/Qing_dynasty_c_1972,Unknown
Qing dynasty (c. 1995),http://buct-kg.org/resource/period/Qing_dynasty_c_1995,Unknown
Qing dynasty (c. 1783),http://buct-kg.org/resource/period/Qing_dynasty_c_1783,Unknown
Early Intermediate Period (Middle Nasca phase),http://buct-kg.org/resource/period/Early_Intermediate_Period_Middle_Nasca_phase,Unknown
