object_id,aligned_period
224868,Qing dynasty (c. 2018)
224554,Qing dynasty (c. 2018)
226115,Qing dynasty (c. 2018)
226166,Qing dynasty (c. 2018)
226136,Qing dynasty (c. 2018)
226170,Qing dynasty (c. 2018)
226168,Qing dynasty (c. 2018)
226184,Qing dynasty (c. 2018)
226155,Qing dynasty (c. 2018)
226131,Qing dynasty (c. 2018)
226165,Qing dynasty (c. 2018)
226137,Qing dynasty (c. 2018)
226124,Qing dynasty (c. 2018)
226125,Qing dynasty (c. 2018)
226133,Qing dynasty (c. 2018)
226148,Qing dynasty (c. 2018)
226162,Qing dynasty (c. 2018)
226157,Qing dynasty (c. 2018)
226120,Qing dynasty (c. 2018)
226177,Qing dynasty (c. 2018)
226176,Qing dynasty (c. 2018)
226146,Qing dynasty (c. 2018)
226145,Qing dynasty (c. 2018)
226156,Qing dynasty (c. 2018)
226173,Qing dynasty (c. 2018)
226172,Qing dynasty (c. 2018)
226163,Qing dynasty (c. 2018)
226135,Qing dynasty (c. 2018)
226179,Qing dynasty (c. 2018)
226144,Qing dynasty (c. 2018)
226149,Qing dynasty (c. 2018)
226116,Qing dynasty (c. 2018)
226113,Qing dynasty (c. 2018)
226129,Qing dynasty (c. 2018)
226139,Qing dynasty (c. 2018)
226153,Qing dynasty (c. 2018)
226171,Qing dynasty (c. 2018)
226119,Qing dynasty (c. 2018)
226167,Qing dynasty (c. 2018)
226161,Qing dynasty (c. 2018)
226147,Qing dynasty (c. 2018)
226183,Qing dynasty (c. 2018)
226121,Qing dynasty (c. 2018)
224767,Qing dynasty (c. 2018)
224725,Qing dynasty (c. 2018)
224728,Qing dynasty (c. 2018)
224327,Qing dynasty (c. 2018)
226151,Qing dynasty (c. 2018)
226182,Qing dynasty (c. 2018)
226140,Qing dynasty (c. 2018)
226117,Qing dynasty (c. 2018)
226141,Qing dynasty (c. 2018)
226152,Qing dynasty (c. 2018)
226132,Qing dynasty (c. 2018)
226186,Qing dynasty (c. 2018)
226114,Qing dynasty (c. 2018)
226169,Qing dynasty (c. 2018)
226118,Qing dynasty (c. 2018)
226123,Qing dynasty (c. 2018)
226185,Qing dynasty (c. 2018)
226160,Qing dynasty (c. 2018)
226181,Qing dynasty (c. 2018)
226142,Qing dynasty (c. 2018)
226122,Qing dynasty (c. 2018)
226158,Qing dynasty (c. 2018)
224552,Qing dynasty (c. 2018)
224453,Qing dynasty (c. 2018)
224719,Qing dynasty (c. 2018)
224299,Qing dynasty (c. 2017)
224612,Qing dynasty (c. 2017)
224289,Qing dynasty (c. 2017)
224670,Qing dynasty (c. 2017)
224738,Qing dynasty (c. 2017)
224872,Qing dynasty (c. 2017)
224713,Qing dynasty (c. 2017)
225036,Qing dynasty (c. 2017)
224276,Qing dynasty (c. 2017)
224323,Qing dynasty (c. 2017)
224263,Qing dynasty (c. 2017)
224732,Qing dynasty (c. 2017)
224311,Qing dynasty (c. 2017)
225741,Qing dynasty (c. 2017)
224553,Qing dynasty (c. 2017)
224267,Qing dynasty (c. 2017)
224061,Qing dynasty (c. 2017)
226056,Qing dynasty (c. 2017)
224167,Qing dynasty (c. 2017)
224165,Qing dynasty (c. 2017)
224160,Qing dynasty (c. 2017)
224164,Qing dynasty (c. 2017)
224166,Qing dynasty (c. 2017)
224442,Qing dynasty (c. 2017)
226788,Qing dynasty (c. 2017)
225154,Qing dynasty (c. 2017)
224454,Qing dynasty (c. 2017)
226949,Qing dynasty (c. 2017)
226918,Qing dynasty (c. 2017)
226919,Qing dynasty (c. 2017)
227515,Qing dynasty (c. 2017)
227534,Qing dynasty (c. 2017)
227535,Qing dynasty (c. 2017)
224273,Qing dynasty (c. 2017)
226697,Qing dynasty (c. 2017)
225885,Qing dynasty (c. 2017)
225884,Qing dynasty (c. 2017)
225868,Qing dynasty (c. 2017)
225886,Qing dynasty (c. 2017)
225883,Qing dynasty (c. 2017)
222655,Qing dynasty (c. 2016)
224435,Qing dynasty (c. 2018)
222612,Qing dynasty (c. 2016)
224433,Qing dynasty (c. 2018)
222683,Qing dynasty (c. 2016)
222658,Qing dynasty (c. 2016)
222585,Qing dynasty (c. 2016)
222627,Qing dynasty (c. 2016)
222592,Qing dynasty (c. 2016)
222619,Qing dynasty (c. 2016)
222635,Qing dynasty (c. 2016)
222638,Qing dynasty (c. 2016)
222552,Qing dynasty (c. 2016)
222593,Qing dynasty (c. 2016)
222653,Qing dynasty (c. 2016)
222609,Qing dynasty (c. 2016)
222574,Qing dynasty (c. 2016)
222606,Qing dynasty (c. 2016)
222563,Qing dynasty (c. 2016)
222576,Qing dynasty (c. 2016)
222587,Qing dynasty (c. 2016)
222604,Qing dynasty (c. 2016)
223226,Qing dynasty (c. 2016)
222557,Qing dynasty (c. 2016)
222634,Qing dynasty (c. 2016)
224669,Qing dynasty (c. 2016)
222578,Qing dynasty (c. 2016)
222559,Qing dynasty (c. 2016)
222595,Qing dynasty (c. 2016)
222569,Qing dynasty (c. 2016)
222674,Qing dynasty (c. 2016)
222549,Qing dynasty (c. 2016)
222665,Qing dynasty (c. 2016)
222620,Qing dynasty (c. 2016)
222602,Qing dynasty (c. 2016)
222611,Qing dynasty (c. 2016)
222580,Qing dynasty (c. 2016)
222594,Qing dynasty (c. 2016)
222586,Qing dynasty (c. 2016)
222583,Qing dynasty (c. 2016)
222636,Qing dynasty (c. 2016)
222584,Qing dynasty (c. 2016)
222618,Qing dynasty (c. 2016)
222591,Qing dynasty (c. 2016)
222562,Qing dynasty (c. 2016)
222551,Qing dynasty (c. 2016)
222566,Qing dynasty (c. 2016)
222623,Qing dynasty (c. 2016)
222590,Qing dynasty (c. 2016)
222589,Qing dynasty (c. 2016)
222663,Qing dynasty (c. 2016)
222558,Qing dynasty (c. 2016)
222555,Qing dynasty (c. 2016)
222691,Qing dynasty (c. 2016)
222603,Qing dynasty (c. 2016)
222673,Qing dynasty (c. 2016)
222573,Qing dynasty (c. 2016)
222572,Qing dynasty (c. 2016)
222644,Qing dynasty (c. 2016)
222553,Qing dynasty (c. 2016)
222582,Qing dynasty (c. 2016)
222577,Qing dynasty (c. 2016)
222626,Qing dynasty (c. 2016)
222654,Qing dynasty (c. 2016)
222605,Qing dynasty (c. 2016)
222643,Qing dynasty (c. 2016)
222621,Qing dynasty (c. 2016)
225348,Qing dynasty (c. 2016)
222596,Qing dynasty (c. 2016)
222579,Qing dynasty (c. 2016)
222550,Qing dynasty (c. 2016)
222588,Qing dynasty (c. 2016)
222637,Qing dynasty (c. 2016)
222682,Qing dynasty (c. 2016)
222630,Qing dynasty (c. 2016)
222560,Qing dynasty (c. 2016)
222564,Qing dynasty (c. 2016)
224434,Qing dynasty (c. 2018)
223191,Qing dynasty (c. 2016)
222581,Qing dynasty (c. 2016)
222607,Qing dynasty (c. 2016)
222681,Qing dynasty (c. 2016)
222657,Qing dynasty (c. 2016)
224438,Qing dynasty (c. 2018)
222615,Qing dynasty (c. 2016)
222629,Qing dynasty (c. 2016)
222690,Qing dynasty (c. 2016)
222646,Qing dynasty (c. 2016)
222622,Qing dynasty (c. 2016)
225428,Qing dynasty (c. 2016)
225291,Qing dynasty (c. 2016)
225890,Qing dynasty (c. 2016)
222570,Qing dynasty (c. 2016)
223192,Qing dynasty (c. 2016)
222628,Qing dynasty (c. 2016)
224269,Qing dynasty (c. 2016)
224288,Qing dynasty (c. 2016)
224310,Qing dynasty (c. 2016)
226380,Qing dynasty (c. 2016)
224266,Qing dynasty (c. 2016)
224059,Qing dynasty (c. 2016)
224745,Qing dynasty (c. 2016)
225033,Qing dynasty (c. 2016)
226381,Qing dynasty (c. 2016)
225555,Qing dynasty (c. 2016)
224317,Qing dynasty (c. 2016)
226394,Qing dynasty (c. 2016)
224808,Qing dynasty (c. 2016)
227536,Qing dynasty (c. 2016)
227532,Qing dynasty (c. 2016)
227537,Qing dynasty (c. 2016)
227521,Qing dynasty (c. 2016)
219172,Qing dynasty (c. 2015)
224576,Qing dynasty (c. 2015)
225347,Qing dynasty (c. 2015)
218962,Qing dynasty (c. 2015)
221709,Qing dynasty (c. 2015)
224301,Qing dynasty (c. 2015)
224731,Qing dynasty (c. 2015)
224722,Qing dynasty (c. 2015)
222741,Qing dynasty (c. 2015)
220363,Qing dynasty (c. 2015)
224895,Qing dynasty (c. 2015)
220283,Qing dynasty (c. 2015)
220183,Qing dynasty (c. 2015)
219270,Qing dynasty (c. 2015)
225731,Qing dynasty (c. 2015)
224579,Qing dynasty (c. 2015)
224555,Qing dynasty (c. 2015)
225610,Qing dynasty (c. 2015)
224792,Qing dynasty (c. 2015)
225611,Qing dynasty (c. 2015)
224866,Qing dynasty (c. 2015)
220318,Qing dynasty (c. 2015)
218284,Qing dynasty (c. 2015)
218903,Qing dynasty (c. 2015)
226107,Qing dynasty (c. 2015)
220423,Qing dynasty (c. 2015)
227533,Qing dynasty (c. 2015)
225288,Qing dynasty (c. 2015)
219268,Qing dynasty (c. 2014)
224715,Qing dynasty (c. 2014)
225295,Qing dynasty (c. 2014)
216276,Qing dynasty (c. 2014)
224495,Qing dynasty (c. 2014)
218259,Qing dynasty (c. 2014)
218232,Qing dynasty (c. 2014)
218010,Qing dynasty (c. 2014)
220337,Qing dynasty (c. 2014)
216753,Qing dynasty (c. 2014)
215856,Qing dynasty (c. 2014)
218606,Qing dynasty (c. 2014)
224714,Qing dynasty (c. 2014)
224496,Qing dynasty (c. 2014)
217613,Qing dynasty (c. 2014)
218182,Qing dynasty (c. 2014)
220598,Qing dynasty (c. 2014)
220364,Qing dynasty (c. 2014)
224716,Qing dynasty (c. 2014)
224577,Qing dynasty (c. 2014)
220184,Qing dynasty (c. 2014)
