object_id,aligned_museum
222585,Brooklyn Museum
222627,Brooklyn Museum
222592,Brooklyn Museum
222619,Brooklyn Museum
222635,Brooklyn Museum
222638,Brooklyn Museum
222552,Brooklyn Museum
222593,Brooklyn Museum
222653,Brooklyn Museum
222609,Brooklyn Museum
222574,Brooklyn Museum
222606,Brooklyn Museum
222563,Brooklyn Museum
222576,Brooklyn Museum
222587,Brooklyn Museum
222604,Brooklyn Museum
223226,Brooklyn Museum
222557,Brooklyn Museum
222634,Brooklyn Museum
224669,Brooklyn Museum
222578,Brooklyn Museum
222559,Brooklyn Museum
222595,Brooklyn Museum
222569,Brooklyn Museum
222674,Brooklyn Museum
222549,Brooklyn Museum
222665,Brooklyn Museum
222620,Brooklyn Museum
222602,Brooklyn Museum
222611,Brooklyn Museum
222580,Brooklyn Museum
222594,Brooklyn Museum
222586,Brooklyn Museum
222583,Brooklyn Museum
222636,Brooklyn Museum
222584,Brooklyn Museum
222618,Brooklyn Museum
222591,Brooklyn Museum
222562,Brooklyn Museum
222551,Brooklyn Museum
222566,Brooklyn Museum
222623,Brooklyn Museum
222590,Brooklyn Museum
222589,Brooklyn Museum
222663,Brooklyn Museum
222558,Brooklyn Museum
222555,Brooklyn Museum
222691,Brooklyn Museum
222603,Brooklyn Museum
222673,Brooklyn Museum
222573,Brooklyn Museum
222572,Brooklyn Museum
222644,Brooklyn Museum
222553,Brooklyn Museum
222582,Brooklyn Museum
222577,Brooklyn Museum
222626,Brooklyn Museum
222654,Brooklyn Museum
222605,Brooklyn Museum
222643,Brooklyn Museum
222621,Brooklyn Museum
225348,Brooklyn Museum
222596,Brooklyn Museum
222579,Brooklyn Museum
222550,Brooklyn Museum
222588,Brooklyn Museum
222637,Brooklyn Museum
222682,Brooklyn Museum
222630,Brooklyn Museum
222560,Brooklyn Museum
222564,Brooklyn Museum
224434,Brooklyn Museum
223191,Brooklyn Museum
222581,Brooklyn Museum
222607,Brooklyn Museum
222681,Brooklyn Museum
222657,Brooklyn Museum
224438,Brooklyn Museum
222615,Brooklyn Museum
222629,Brooklyn Museum
222690,Brooklyn Museum
222646,Brooklyn Museum
222622,Brooklyn Museum
225428,Brooklyn Museum
225291,Brooklyn Museum
225890,Brooklyn Museum
222570,Brooklyn Museum
223192,Brooklyn Museum
222628,Brooklyn Museum
224269,Brooklyn Museum
224288,Brooklyn Museum
224310,Brooklyn Museum
226380,Brooklyn Museum
224266,Brooklyn Museum
224059,Brooklyn Museum
224745,Brooklyn Museum
225033,Brooklyn Museum
226381,Brooklyn Museum
225555,Brooklyn Museum
224317,Brooklyn Museum
226394,Brooklyn Museum
224808,Brooklyn Museum
227536,Brooklyn Museum
227532,Brooklyn Museum
227537,Brooklyn Museum
227521,Brooklyn Museum
219172,Brooklyn Museum
224576,Brooklyn Museum
225347,Brooklyn Museum
218962,Brooklyn Museum
221709,Brooklyn Museum
224301,Brooklyn Museum
224731,Brooklyn Museum
224722,Brooklyn Museum
222741,Brooklyn Museum
220363,Brooklyn Museum
224895,Brooklyn Museum
220283,Brooklyn Museum
220183,Brooklyn Museum
219270,Brooklyn Museum
225731,Brooklyn Museum
224579,Brooklyn Museum
224555,Brooklyn Museum
225610,Brooklyn Museum
224792,Brooklyn Museum
225611,Brooklyn Museum
224866,Brooklyn Museum
220318,Brooklyn Museum
218284,Brooklyn Museum
218903,Brooklyn Museum
226107,Brooklyn Museum
220423,Brooklyn Museum
227533,Brooklyn Museum
225288,Brooklyn Museum
219268,Brooklyn Museum
224715,Brooklyn Museum
225295,Brooklyn Museum
216276,Brooklyn Museum
224495,Brooklyn Museum
218259,Brooklyn Museum
218232,Brooklyn Museum
218010,Brooklyn Museum
220337,Brooklyn Museum
216753,Brooklyn Museum
215856,Brooklyn Museum
218606,Brooklyn Museum
224714,Brooklyn Museum
224496,Brooklyn Museum
217613,Brooklyn Museum
218182,Brooklyn Museum
220598,Brooklyn Museum
220364,Brooklyn Museum
224716,Brooklyn Museum
224577,Brooklyn Museum
220184,Brooklyn Museum
224717,Brooklyn Museum
224494,Brooklyn Museum
220383,Brooklyn Museum
225494,Brooklyn Museum
220529,Brooklyn Museum
219183,Brooklyn Museum
219201,Brooklyn Museum
224441,Brooklyn Museum
224718,Brooklyn Museum
219530,Brooklyn Museum
217295,Brooklyn Museum
224497,Brooklyn Museum
224499,Brooklyn Museum
224291,Brooklyn Museum
220365,Brooklyn Museum
217614,Brooklyn Museum
216899,Brooklyn Museum
220348,Brooklyn Museum
226389,Brooklyn Museum
218233,Brooklyn Museum
216350,Brooklyn Museum
215551,Brooklyn Museum
226406,Brooklyn Museum
225284,Brooklyn Museum
216898,Brooklyn Museum
225009,Brooklyn Museum
218581,Brooklyn Museum
217808,Brooklyn Museum
216270,Brooklyn Museum
219271,Brooklyn Museum
214432,Brooklyn Museum
217041,Brooklyn Museum
215878,Brooklyn Museum
224574,Brooklyn Museum
217134,Brooklyn Museum
214374,Brooklyn Museum
214202,Brooklyn Museum
224804,Brooklyn Museum
219200,Brooklyn Museum
211616,Brooklyn Museum
216203,Brooklyn Museum
218074,Brooklyn Museum
218231,Brooklyn Museum
224294,Brooklyn Museum
215886,Brooklyn Museum
215848,Brooklyn Museum
215889,Brooklyn Museum
223016,Brooklyn Museum
215887,Brooklyn Museum
224578,Brooklyn Museum
218181,Brooklyn Museum
214146,Brooklyn Museum
211196,Brooklyn Museum
224823,Brooklyn Museum
225949,Brooklyn Museum
225847,Brooklyn Museum
225889,Brooklyn Museum
225851,Brooklyn Museum
225849,Brooklyn Museum
225852,Brooklyn Museum
225856,Brooklyn Museum
225854,Brooklyn Museum
225848,Brooklyn Museum
225857,Brooklyn Museum
225131,Brooklyn Museum
225858,Brooklyn Museum
225855,Brooklyn Museum
225130,Brooklyn Museum
225853,Brooklyn Museum
214433,Brooklyn Museum
214375,Brooklyn Museum
220387,Brooklyn Museum
219308,Brooklyn Museum
224729,Brooklyn Museum
212065,Brooklyn Museum
210665,Brooklyn Museum
214203,Brooklyn Museum
210268,Brooklyn Museum
210224,Brooklyn Museum
210278,Brooklyn Museum
208840,Brooklyn Museum
210194,Brooklyn Museum
224063,Brooklyn Museum
209946,Brooklyn Museum
209948,Brooklyn Museum
211194,Brooklyn Museum
225138,Brooklyn Museum
210422,Brooklyn Museum
224446,Brooklyn Museum
209326,Brooklyn Museum
210199,Brooklyn Museum
212070,Brooklyn Museum
210207,Brooklyn Museum
224261,Brooklyn Museum
210269,Brooklyn Museum
210177,Brooklyn Museum
209947,Brooklyn Museum
224309,Brooklyn Museum
222904,Brooklyn Museum
218241,Brooklyn Museum
209424,Brooklyn Museum
218240,Brooklyn Museum
210025,Brooklyn Museum
224298,Brooklyn Museum
218239,Brooklyn Museum
218158,Brooklyn Museum
210945,Brooklyn Museum
210173,Brooklyn Museum
210137,Brooklyn Museum
220362,Brooklyn Museum
214201,Brooklyn Museum
212058,Brooklyn Museum
210174,Brooklyn Museum
218009,Brooklyn Museum
212059,Brooklyn Museum
213879,Brooklyn Museum
214447,Brooklyn Museum
219272,Brooklyn Museum
226393,Brooklyn Museum
208971,Brooklyn Museum
225805,Brooklyn Museum
226104,Brooklyn Museum
215069,Brooklyn Museum
225609,Brooklyn Museum
210175,Brooklyn Museum
225869,Brooklyn Museum
226390,Brooklyn Museum
224833,Brooklyn Museum
219309,Brooklyn Museum
218230,Brooklyn Museum
219199,Brooklyn Museum
225735,Brooklyn Museum
225736,Brooklyn Museum
227099,Brooklyn Museum
210628,Brooklyn Museum
225732,Brooklyn Museum
225283,Brooklyn Museum
210944,Brooklyn Museum
225624,Brooklyn Museum
210182,Brooklyn Museum
226392,Brooklyn Museum
218242,Brooklyn Museum
210172,Brooklyn Museum
197576,Brooklyn Museum
210798,Brooklyn Museum
218605,Brooklyn Museum
210219,Brooklyn Museum
213589,Brooklyn Museum
198904,Brooklyn Museum
210216,Brooklyn Museum
212821,Brooklyn Museum
212823,Brooklyn Museum
213181,Brooklyn Museum
212824,Brooklyn Museum
210217,Brooklyn Museum
210545,Brooklyn Museum
197577,Brooklyn Museum
207864,Brooklyn Museum
210212,Brooklyn Museum
224285,Brooklyn Museum
210427,Brooklyn Museum
210193,Brooklyn Museum
210218,Brooklyn Museum
217071,Brooklyn Museum
218229,Brooklyn Museum
210267,Brooklyn Museum
210215,Brooklyn Museum
220467,Brooklyn Museum
224255,Brooklyn Museum
210176,Brooklyn Museum
198916,Brooklyn Museum
208767,Brooklyn Museum
210213,Brooklyn Museum
198903,Brooklyn Museum
210276,Brooklyn Museum
212825,Brooklyn Museum
217070,Brooklyn Museum
220466,Brooklyn Museum
225657,Brooklyn Museum
25247,Art Institute of Chicago
4942,Art Institute of Chicago
15010,Art Institute of Chicago
7111,Art Institute of Chicago
15014,Art Institute of Chicago
143675,Art Institute of Chicago
15012,Art Institute of Chicago
220492,Art Institute of Chicago
139465,Art Institute of Chicago
19935,Art Institute of Chicago
73995,Art Institute of Chicago
22746,Art Institute of Chicago
20000,Art Institute of Chicago
138054,Art Institute of Chicago
227552,Art Institute of Chicago
198854,Art Institute of Chicago
60915,Art Institute of Chicago
189775,Art Institute of Chicago
48,Art Institute of Chicago
15033,Art Institute of Chicago
14447,Art Institute of Chicago
119371,Art Institute of Chicago
199136,Art Institute of Chicago
32740,Art Institute of Chicago
188274,Art Institute of Chicago
147872,Art Institute of Chicago
75330,Art Institute of Chicago
121044,Art Institute of Chicago
65,Art Institute of Chicago
139460,Art Institute of Chicago
139562,Art Institute of Chicago
48846,Art Institute of Chicago
266210,Art Institute of Chicago
101573,Art Institute of Chicago
109169,Art Institute of Chicago
194369,Art Institute of Chicago
194370,Art Institute of Chicago
147873,Art Institute of Chicago
101574,Art Institute of Chicago
135,Art Institute of Chicago
111962,Art Institute of Chicago
184562,Art Institute of Chicago
15030,Art Institute of Chicago
134,Art Institute of Chicago
19970,Art Institute of Chicago
80494,Art Institute of Chicago
38985,Art Institute of Chicago
139470,Art Institute of Chicago
7934,Art Institute of Chicago
191156,Art Institute of Chicago
29530,Art Institute of Chicago
53832,Art Institute of Chicago
109200,Art Institute of Chicago
139462,Art Institute of Chicago
148877,Art Institute of Chicago
18438,Art Institute of Chicago
101571,Art Institute of Chicago
80112,Art Institute of Chicago
86380,Art Institute of Chicago
233330,Art Institute of Chicago
2583,Art Institute of Chicago
137970,Art Institute of Chicago
29408,Art Institute of Chicago
132651,Art Institute of Chicago
3446,Art Institute of Chicago
43060,Art Institute of Chicago
18467,Art Institute of Chicago
137976,Art Institute of Chicago
185963,Art Institute of Chicago
2728,Art Institute of Chicago
46808,Art Institute of Chicago
12270,Art Institute of Chicago
12054,Art Institute of Chicago
35376,Art Institute of Chicago
32532,Art Institute of Chicago
2511,Art Institute of Chicago
4453,Art Institute of Chicago
109184,Art Institute of Chicago
50502,Art Institute of Chicago
22042,Art Institute of Chicago
29149,Art Institute of Chicago
18568,Art Institute of Chicago
21284,Art Institute of Chicago
14460,Art Institute of Chicago
2344,Art Institute of Chicago
190614,Art Institute of Chicago
60912,Art Institute of Chicago
70115,Art Institute of Chicago
200412,Art Institute of Chicago
15906,Art Institute of Chicago
5006,Art Institute of Chicago
15722,Art Institute of Chicago
182878,Art Institute of Chicago
14474,Art Institute of Chicago
8056,Art Institute of Chicago
12552,Art Institute of Chicago
8636,Art Institute of Chicago
18522,Art Institute of Chicago
233322,Art Institute of Chicago
233328,Art Institute of Chicago
12476,Art Institute of Chicago
12086,Art Institute of Chicago
27925,Art Institute of Chicago
21653,Art Institute of Chicago
23497,Art Institute of Chicago
4450,Art Institute of Chicago
70003,Art Institute of Chicago
32631,Art Institute of Chicago
12380,Art Institute of Chicago
212904,Art Institute of Chicago
21296,Art Institute of Chicago
7931,Art Institute of Chicago
48991,Art Institute of Chicago
10522,Art Institute of Chicago
12123,Art Institute of Chicago
