object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,standardized_period,standardized_type,standardized_material,culture,data_quality_score,_culture,_dynasty,_reign,_object_date,_department,_country,_region,_artist,_artist_bio,_artist_nationality,_image_small,_accession_year,_is_public_domain,_image_valid,is_duplicate
459027,"Portrait of a Woman, Possibly a Nun of San Secondo; (verso) Scene in Grisaille",,Painting,Oil on wood; (verso: oil and gold on wood),,"Overall 4 x 2 7/8 in. (10.2 x 7.3 cm); recto and verso, painted surface 3 3/4 x 2 1/2 in. (9.5 x 6.4 cm)",The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/459027,https://images.metmuseum.org/CRDImages/rl/original/DP221483.jpg,,"Robert Lehman Collection, 1975",1975.1.85,2026-05-27,Unknown,Painting,Oil on wood,Italian,0.8,,,,ca. 1485–95,Robert Lehman Collection,,,Jacometto (Jacometto Veneziano),"Italian, active Venice by ca. 1472–died before 1498",Italian,https://images.metmuseum.org/CRDImages/rl/web-large/DP221483.jpg,1975,True,True,False
459028,Portrait of Alvise Contarini(?); (verso) A Tethered Roebuck,,Painting,Oil on wood; verso: oil and gold on wood,,"Overall 4 5/8 x 3 3/8 in. ; recto, painted surface 4 1/8 x 3 1/8 in.; verso, painted surface 4 3/8 x 3 1/8 in.",The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/459028,https://images.metmuseum.org/CRDImages/rl/original/DP221485.jpg,,"Robert Lehman Collection, 1975",1975.1.86,2026-05-27,Unknown,Painting,Oil on wood,Italian,0.8,,,,ca. 1485–95,Robert Lehman Collection,,,Jacometto (Jacometto Veneziano),"Italian, active Venice by ca. 1472–died before 1498",Italian,https://images.metmuseum.org/CRDImages/rl/web-large/DP221485.jpg,1975,True,True,False
544320,Stela of the Steward Mentuwoser,Middle Kingdom,"Stela, Mentuwoser","Limestone, paint",,H. 103 cm (40 9/16 in.); W. 50.5 cm (19 7/8 in.); Th. 8.3 cm (3 1/4 in.),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/544320,https://images.metmuseum.org/CRDImages/eg/original/DP322064.jpg,,"Gift of Edward S. Harkness, 1912",12.184,2026-05-27,Middle Kingdom,Stela,Limestone,Unknown,0.9,,Dynasty 12,"reign of Senwosret I, year 17",ca. 1944 B.C.,Egyptian Art,,Northern Upper Egypt,,,,https://images.metmuseum.org/CRDImages/eg/web-large/DP322064.jpg,1912,True,True,False
53162,Tobatsu Bishamonten,Heian period (794–1185),Figure,Zelkova wood with traces of color,,H. 49 1/4 in. (125.1 cm),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/53162,https://images.metmuseum.org/CRDImages/as/original/DP-27915-006.jpg,,"Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015","2015.300.253a, b",2026-05-27,Heian period (794–1185),Figure,Wood,Japan,0.9,Japan,,,late 10th–early 11th century,Asian Art,,,,,,https://images.metmuseum.org/CRDImages/as/web-large/DP-27915-006.jpg,2015,True,True,False
200668,Sabine Houdon (1787–1836),,Bust,White marble on gray marble socle,,"Overall, without base (confirmed): H. 10 3/4 x W. 8 7/8 x D. 5 7/8 in., 20lb. (27.3 x 22.5 x 14.9 cm, 9.0719kg); Height with base (confirmed): 13 1/2 in. (34.3 cm)",The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/200668,https://images.metmuseum.org/CRDImages/es/original/DP242660.jpg,,"Bequest of Mary Stillman Harkness, 1950",50.145.66,2026-05-27,Unknown,Bust,Marble,French,0.8,,,,1788,European Sculpture and Decorative Arts,,,Jean Antoine Houdon,"French, Versailles 1741–1828 Paris",French,https://images.metmuseum.org/CRDImages/es/web-large/DP242660.jpg,1950,True,True,False
544740,Yuny and His Wife Renenutet,"New Kingdom, Ramesside","Statue, Yuny, Renenutet, pair, menat, music","Limestone, paint",,H. 84.5 × W. 54.5 × D. 73 cm (33 1/4 × 21 7/16 × 28 3/4 in.),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/544740,https://images.metmuseum.org/CRDImages/eg/original/DT549.jpg,,"Rogers Fund, 1915",15.2.1,2026-05-27,"New Kingdom, Ramesside","Statue, Yuny, Renenutet, pair, menat, music",Limestone,Unknown,0.9,,Dynasty 19,reign of Seti I,ca. 1294–1279 B.C.,Egyptian Art,Egypt,Middle Egypt,,,,https://images.metmuseum.org/CRDImages/eg/web-large/DT549.jpg,1915,True,True,False
39901,Night-Shining White,Tang dynasty (618–907),Handscroll,Handscroll; ink on paper,,"Image: 12 1/8 x 13 3/8 in. (30.8 x 34 cm)
Overall with mounting: 14 in. x 37 ft. 5 1/8 in. (35.4 cm x 11.4 m)",The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/39901,https://images.metmuseum.org/CRDImages/as/original/DP153705.jpg,,"Purchase, The Dillon Fund Gift, 1977",1977.78,2026-05-27,Tang dynasty (618-907),Handscroll,Ink on paper,China,0.9,China,,,ca. 750,Asian Art,,,Han Gan,"Chinese, active ca. 742–756",Chinese,https://images.metmuseum.org/CRDImages/as/web-large/DP153705.jpg,1977,True,True,False
53176,"Fudō Myōō, the Immovable Wisdom King (Achala Vidyaraja)",Kamakura period (1185–1333),Figure,"Japanese cypress with lacquer, color, gold, cut gold leaf (kirikane), and inlaid crystal eyes",,H. 21 in. (53.3 cm);  W. 16 3/4 in. (42.5 cm); D. 15 in. (38.1 cm),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/53176,https://images.metmuseum.org/CRDImages/as/original/DP-22243-001.jpg,,"Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015","2015.300.252a, b",2026-05-27,Kamakura period (1185-1333),Figure,Gold,Japan,0.9,Japan,,,early 13th century,Asian Art,,,Kaikei,"Japanese, active 1183–1223",Japanese,https://images.metmuseum.org/CRDImages/as/web-large/DP-22243-001.jpg,2015,True,True,False
435848,The Birth of the Virgin,,Painting,Tempera and oil on wood,,57 x 37 7/8 in. (144.8 x 96.2 cm),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/435848,https://images.metmuseum.org/CRDImages/ep/original/DP109484.jpg,,"Rogers and Gwynne Andrews Funds, 1935",35.121,2026-05-27,Unknown,Painting,Oil on wood,Italian,0.8,,,,1467,European Paintings,,,Fra Carnevale (Bartolomeo di Giovanni Corradini),"Italian, born by 1416–died 1484 Urbino",Italian,https://images.metmuseum.org/CRDImages/ep/web-large/DP109484.jpg,1935,True,True,False
42515,Chicken cup,"Ming dynasty (1368–1644), Chenghua mark and period (1465–87)",Cup,Porcelain painted in underglaze cobalt blue and overglaze colored enamel (Jingdezhen ware),,H. 1 5/8 in. (4.1 cm); Diam. of rim 3 1/4 in. (8.3 cm); Diam. of foot 1 1/2 in. (3.8 cm),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/42515,https://images.metmuseum.org/CRDImages/as/original/1987_85_2015AT_001.jpg,,"Purchase, Mrs. Richard E. Linburn Gift, 1987",1987.85,2026-05-27,Ming dynasty (1368-1644),Cup,Porcelain,China,0.9,China,,,,Asian Art,,,,,,https://images.metmuseum.org/CRDImages/as/web-large/1987_85_2015AT_001.jpg,1987,True,True,False
205883,Guanyin,,Figure,Red stoneware with gilding,,Overall (confirmed): 14 3/4 × 4 × 4 1/8 in. (37.5 × 10.2 × 10.5 cm),The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/205883,https://images.metmuseum.org/CRDImages/es/original/DP352550.jpg,,"The Lesley and Emma Sheafer Collection, Bequest of Emma A. Sheafer, 1973",1974.356.319,2026-05-27,Unknown,Figure,Stoneware,German,0.8,,,,1710–13,European Sculpture and Decorative Arts,,,Meissen Manufactory,"German, 1710–present",German,https://images.metmuseum.org/CRDImages/es/web-large/DP352550.jpg,1974,True,True,False
816189,"”Abiding nowhere, the awakened mind arises”",Kamakura (1185–1333) or Nanbokuchō (1336–92) period,Hanging scroll,Hanging scroll; ink on paper,,"Image: 39 1/16 × 22 5/8 in. (99.2 × 57.4 cm)
Overall with mounting: 71 1/4 × 24 in. (181 × 61 cm)
Overall with knobs: 71 1/4 × 25 13/16 in. (181 × 65.6 cm)",The Metropolitan Museum of Art,"New York, United States",https://www.metmuseum.org/art/collection/search/816189,https://images.metmuseum.org/CRDImages/as/original/DP-17101-002.jpg,,"Mary and Cheney Cowles Collection, Gift of Mary and Cheney Cowles, 2018",2018.853.2,2026-05-27,Kamakura period (1185-1333),Hanging scroll,Ink on paper,Japan,0.9,Japan,,,early to mid-14th century,Asian Art,,,Musō Soseki,"Japanese, 1275–1351",Japanese,https://images.metmuseum.org/CRDImages/as/web-large/DP-17101-002.jpg,2018,True,True,False
