title,object_name,culture,period,dynasty,reign,object_date,medium,classification,department,dimensions,credit_line,country,region,artist,artist_bio,artist_nationality,image_url,image_small,object_url,accession_number,accession_year,is_public_domain,source,image_valid,image_local
"Portrait of a Woman, Possibly a Nun of San Secondo; (verso) Scene in Grisaille",Painting,,,,,ca. 1485–95,Oil on wood; (verso: oil and gold on wood),Paintings,Robert Lehman Collection,"Overall 4 x 2 7/8 in. (10.2 x 7.3 cm); recto and verso, painted surface 3 3/4 x 2 1/2 in. (9.5 x 6.4 cm)","Robert Lehman Collection, 1975",,,Jacometto (Jacometto Veneziano),"Italian, active Venice by ca. 1472–died before 1498",Italian,https://images.metmuseum.org/CRDImages/rl/original/DP221483.jpg,https://images.metmuseum.org/CRDImages/rl/web-large/DP221483.jpg,https://www.metmuseum.org/art/collection/search/459027,1975.1.85,1975,True,met_museum,True,
Portrait of Alvise Contarini(?); (verso) A Tethered Roebuck,Painting,,,,,ca. 1485–95,Oil on wood; verso: oil and gold on wood,Paintings,Robert Lehman Collection,"Overall 4 5/8 x 3 3/8 in. ; recto, painted surface 4 1/8 x 3 1/8 in.; verso, painted surface 4 3/8 x 3 1/8 in.","Robert Lehman Collection, 1975",,,Jacometto (Jacometto Veneziano),"Italian, active Venice by ca. 1472–died before 1498",Italian,https://images.metmuseum.org/CRDImages/rl/original/DP221485.jpg,https://images.metmuseum.org/CRDImages/rl/web-large/DP221485.jpg,https://www.metmuseum.org/art/collection/search/459028,1975.1.86,1975,True,met_museum,True,
Stela of the Steward Mentuwoser,"Stela, Mentuwoser",,Middle Kingdom,Dynasty 12,"reign of Senwosret I, year 17",ca. 1944 B.C.,"Limestone, paint",,Egyptian Art,H. 103 cm (40 9/16 in.); W. 50.5 cm (19 7/8 in.); Th. 8.3 cm (3 1/4 in.),"Gift of Edward S. Harkness, 1912",,Northern Upper Egypt,,,,https://images.metmuseum.org/CRDImages/eg/original/DP322064.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/DP322064.jpg,https://www.metmuseum.org/art/collection/search/544320,12.184,1912,True,met_museum,True,
Tobatsu Bishamonten,Figure,Japan,Heian period (794–1185),,,late 10th–early 11th century,Zelkova wood with traces of color,Sculpture,Asian Art,H. 49 1/4 in. (125.1 cm),"Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015",,,,,,https://images.metmuseum.org/CRDImages/as/original/DP-27915-006.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-27915-006.jpg,https://www.metmuseum.org/art/collection/search/53162,"2015.300.253a, b",2015,True,met_museum,True,
Sabine Houdon (1787–1836),Bust,,,,,1788,White marble on gray marble socle,Sculpture,European Sculpture and Decorative Arts,"Overall, without base (confirmed): H. 10 3/4 x W. 8 7/8 x D. 5 7/8 in., 20lb. (27.3 x 22.5 x 14.9 cm, 9.0719kg); Height with base (confirmed): 13 1/2 in. (34.3 cm)","Bequest of Mary Stillman Harkness, 1950",,,Jean Antoine Houdon,"French, Versailles 1741–1828 Paris",French,https://images.metmuseum.org/CRDImages/es/original/DP242660.jpg,https://images.metmuseum.org/CRDImages/es/web-large/DP242660.jpg,https://www.metmuseum.org/art/collection/search/200668,50.145.66,1950,True,met_museum,True,
Yuny and His Wife Renenutet,"Statue, Yuny, Renenutet, pair, menat, music",,"New Kingdom, Ramesside",Dynasty 19,reign of Seti I,ca. 1294–1279 B.C.,"Limestone, paint",,Egyptian Art,H. 84.5 × W. 54.5 × D. 73 cm (33 1/4 × 21 7/16 × 28 3/4 in.),"Rogers Fund, 1915",Egypt,Middle Egypt,,,,https://images.metmuseum.org/CRDImages/eg/original/DT549.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/DT549.jpg,https://www.metmuseum.org/art/collection/search/544740,15.2.1,1915,True,met_museum,True,
Night-Shining White,Handscroll,China,Tang dynasty (618–907),,,ca. 750,Handscroll; ink on paper,Paintings,Asian Art,"Image: 12 1/8 x 13 3/8 in. (30.8 x 34 cm)
Overall with mounting: 14 in. x 37 ft. 5 1/8 in. (35.4 cm x 11.4 m)","Purchase, The Dillon Fund Gift, 1977",,,Han Gan,"Chinese, active ca. 742–756",Chinese,https://images.metmuseum.org/CRDImages/as/original/DP153705.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP153705.jpg,https://www.metmuseum.org/art/collection/search/39901,1977.78,1977,True,met_museum,True,
"Fudō Myōō, the Immovable Wisdom King (Achala Vidyaraja)",Figure,Japan,Kamakura period (1185–1333),,,early 13th century,"Japanese cypress with lacquer, color, gold, cut gold leaf (kirikane), and inlaid crystal eyes",Sculpture,Asian Art,H. 21 in. (53.3 cm);  W. 16 3/4 in. (42.5 cm); D. 15 in. (38.1 cm),"Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015",,,Kaikei,"Japanese, active 1183–1223",Japanese,https://images.metmuseum.org/CRDImages/as/original/DP-22243-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-22243-001.jpg,https://www.metmuseum.org/art/collection/search/53176,"2015.300.252a, b",2015,True,met_museum,True,
The Birth of the Virgin,Painting,,,,,1467,Tempera and oil on wood,Paintings,European Paintings,57 x 37 7/8 in. (144.8 x 96.2 cm),"Rogers and Gwynne Andrews Funds, 1935",,,Fra Carnevale (Bartolomeo di Giovanni Corradini),"Italian, born by 1416–died 1484 Urbino",Italian,https://images.metmuseum.org/CRDImages/ep/original/DP109484.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP109484.jpg,https://www.metmuseum.org/art/collection/search/435848,35.121,1935,True,met_museum,True,
Chicken cup,Cup,China,"Ming dynasty (1368–1644), Chenghua mark and period (1465–87)",,,,Porcelain painted in underglaze cobalt blue and overglaze colored enamel (Jingdezhen ware),Ceramics,Asian Art,H. 1 5/8 in. (4.1 cm); Diam. of rim 3 1/4 in. (8.3 cm); Diam. of foot 1 1/2 in. (3.8 cm),"Purchase, Mrs. Richard E. Linburn Gift, 1987",,,,,,https://images.metmuseum.org/CRDImages/as/original/1987_85_2015AT_001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/1987_85_2015AT_001.jpg,https://www.metmuseum.org/art/collection/search/42515,1987.85,1987,True,met_museum,True,
