title,object_type,culture,period,material,findspot,object_name,museum_number,image_url,object_url,source,image_valid,image_local
adze,,,,,Found/Acquired: Yunnan (province),adze,OA+.3880,https://media.britishmuseum.org/Repository/Documents/2025_12/31_13/1049865c_e886_448c_b5db_b3c400da48c5/large_As_7102_1.jpg,https://www.britishmuseum.org/collection/object/A_OA-3880,british_museum,False,
adze,,,,,Found/Acquired: Yunnan (province),adze,As.7093,https://media.britishmuseum.org/Repository/Documents/2024_6/16_5/c015c40b_ec43_4073_9021_b1910060ae79/large_IMG_1289.jpg,https://www.britishmuseum.org/collection/object/A_As-7093,british_museum,False,
adze,,,,,Found/Acquired: Yunnan (province),adze,OA+.3878,https://media.britishmuseum.org/Repository/Documents/2024_6/16_5/f02c165a_718e_4c7c_a17f_b191005fafa5/large_IMG_1288.jpg,https://www.britishmuseum.org/collection/object/A_OA-3878,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.24",,https://www.britishmuseum.org/collection/object/A_1979-1012-24,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.18",,https://www.britishmuseum.org/collection/object/A_1979-1012-18,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.19",,https://www.britishmuseum.org/collection/object/A_1979-1012-19,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.20",,https://www.britishmuseum.org/collection/object/A_1979-1012-20,british_museum,False,
adze,,,5000BC-3000BC,,Found/Acquired: Buzhaohai,adze,"1959,0216.16",https://media.britishmuseum.org/Repository/Documents/2014_11/1_3/b3db1707_8c8a_4165_92db_a3d600330396/large_01048677_001.jpg,https://www.britishmuseum.org/collection/object/A_1959-0216-16,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.6",,https://www.britishmuseum.org/collection/object/A_1979-1012-6,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.36",,https://www.britishmuseum.org/collection/object/A_1979-1012-36,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.32",,https://www.britishmuseum.org/collection/object/A_1979-1012-32,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.2",,https://www.britishmuseum.org/collection/object/A_1979-1012-2,british_museum,False,
adze,,,1stC BC,,Found/Acquired: Liangwang Shan,adze,"1950,0405.18",https://media.britishmuseum.org/Repository/Documents/2024_1/31_19/fc56f0f2_4c5a_4900_af3a_b10801498c84/large_1950_0405_18.jpg,https://www.britishmuseum.org/collection/object/A_1950-0405-18,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.3",,https://www.britishmuseum.org/collection/object/A_1979-1012-3,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.33",,https://www.britishmuseum.org/collection/object/A_1979-1012-33,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.11",,https://www.britishmuseum.org/collection/object/A_1979-1012-11,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.12",,https://www.britishmuseum.org/collection/object/A_1979-1012-12,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.13",,https://www.britishmuseum.org/collection/object/A_1979-1012-13,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.26",,https://www.britishmuseum.org/collection/object/A_1979-1012-26,british_museum,False,
adze,,,2010,,Found/Acquired: Rifai,adze,"2018,6015.6",,https://www.britishmuseum.org/collection/object/W_2018-6015-6,british_museum,False,
adze,,,,,Found/Acquired: China,adze,"As1925,0615.1",https://media.britishmuseum.org/Repository/Documents/2014_11/8_16/3929afd6_2918_4ce8_9cd9_a3dd010bd77b/large_01382425_001.jpg,https://www.britishmuseum.org/collection/object/A_As1925-0615-1,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.10",,https://www.britishmuseum.org/collection/object/A_1979-1012-10,british_museum,False,
adze,,,,,Found/Acquired: Yunnan (province),adze,As.7098,https://media.britishmuseum.org/Repository/Documents/2024_6/17_17/d1f32b49_72a9_43f9_998f_b19201209d48/large_IMG_1451.jpg,https://www.britishmuseum.org/collection/object/A_As-7098,british_museum,False,
adze,,,,,Found/Acquired: Yunnan (province),adze,OA+.3875,,https://www.britishmuseum.org/collection/object/A_OA-3875,british_museum,False,
adze,,,,,Found/Acquired: Yunnan (province),adze,OA+.3881,https://media.britishmuseum.org/Repository/Documents/2024_6/16_5/807c15b4_db39_46a3_86f1_b1910057458a/large_IMG_1281.jpg,https://www.britishmuseum.org/collection/object/A_OA-3881,british_museum,False,
adze / axe,axe,,,,Found/Acquired: Tengchong,adze / axe,As.7094,https://media.britishmuseum.org/Repository/Documents/2024_6/16_6/1b2966c8_b788_48cf_a671_b191006578c6/large_IMG_1302.jpg,https://www.britishmuseum.org/collection/object/A_As-7094,british_museum,False,
adze,,,,,Found/Acquired: Yunnan (province),adze,OA+.3879,https://media.britishmuseum.org/Repository/Documents/2024_6/16_5/24848104_2e52_4226_8a21_b191005511f9/large_IMG_1270.jpg,https://www.britishmuseum.org/collection/object/A_OA-3879,british_museum,False,
adze,,,,,Found/Acquired: Yunnan (province),adze,As.7095,https://media.britishmuseum.org/Repository/Documents/2024_6/16_5/0a8d5f43_b5d0_4a35_8e7c_b1910062393e/large_IMG_1291.jpg,https://www.britishmuseum.org/collection/object/A_As-7095,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.21",,https://www.britishmuseum.org/collection/object/A_1979-1012-21,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.15",,https://www.britishmuseum.org/collection/object/A_1979-1012-15,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.34",,https://www.britishmuseum.org/collection/object/A_1979-1012-34,british_museum,False,
adze,,,,,Found/Acquired: Tai Wan,adze,"1963,1014.6",,https://www.britishmuseum.org/collection/object/A_1963-1014-6,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.22",,https://www.britishmuseum.org/collection/object/A_1979-1012-22,british_museum,False,
adze,,,,,Found/Acquired: Yunnan (province),adze,As.7099,https://media.britishmuseum.org/Repository/Documents/2025_12/31_13/3a9bac7e_4a8b_477d_ba54_b3c400d99a90/large_As_7099_1.jpg,https://www.britishmuseum.org/collection/object/A_As-7099,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.16",,https://www.britishmuseum.org/collection/object/A_1979-1012-16,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.35",,https://www.britishmuseum.org/collection/object/A_1979-1012-35,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.29",,https://www.britishmuseum.org/collection/object/A_1979-1012-29,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.17",,https://www.britishmuseum.org/collection/object/A_1979-1012-17,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.30",,https://www.britishmuseum.org/collection/object/A_1979-1012-30,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.43",,https://www.britishmuseum.org/collection/object/A_1979-1012-43,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.37",,https://www.britishmuseum.org/collection/object/A_1979-1012-37,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.31",,https://www.britishmuseum.org/collection/object/A_1979-1012-31,british_museum,False,
adze,,,,,Found/Acquired: Swabue,adze,"1979,1012.25",,https://www.britishmuseum.org/collection/object/A_1979-1012-25,british_museum,False,
aeolipile,,,,,Found/Acquired: Tibet,aeolipile,"1926,1204.24",,https://www.britishmuseum.org/collection/object/A_1926-1204-24,british_museum,False,
aeolipile,,,1901-1936,,Found/Acquired: Tibet,aeolipile,"1936,1007.2",,https://www.britishmuseum.org/collection/object/A_1936-1007-2,british_museum,False,
aeolipile,,,,,Found/Acquired: Tibet,aeolipile,"1936,1007.5",,https://www.britishmuseum.org/collection/object/A_1936-1007-5,british_museum,False,
aeolipile,,,1900,,Found/Acquired: Tibet,aeolipile,"1913,0721.7",,https://www.britishmuseum.org/collection/object/A_1913-0721-7,british_museum,False,
aeolipile,,,,,Found/Acquired: Tibet,aeolipile,"1936,1007.3",,https://www.britishmuseum.org/collection/object/A_1936-1007-3,british_museum,False,
akor,,,19thC,,Found/Acquired: Tibet,akor,"1905,0518.75.a-b",https://media.britishmuseum.org/Repository/Documents/2014_11/12_11/751bd836_b703_4f26_bd16_a3e100bfcb9c/large_00100519_001.jpg,https://www.britishmuseum.org/collection/object/A_1905-0518-75-a-b,british_museum,False,
albarello,,,1621,,Found/Acquired: China,albarello,Franks.807,https://media.britishmuseum.org/Repository/Documents/2014_10/4_21/dc8cd806_9bb9_4892_856f_a3ba01619af2/large_00264110_001.jpg,https://www.britishmuseum.org/collection/object/A_Franks-807,british_museum,False,
album / painting,painting,,1820,,,album / painting,"1962,1231,0.5.1-28",https://media.britishmuseum.org/Repository/Documents/2014_10/11_17/7931769f_a5cc_404a_a68f_a3c10122f912/large_00681380_001.jpg,https://www.britishmuseum.org/collection/object/A_1962-1231-0-5-1-28,british_museum,False,
album / painting,painting,,,,,album / painting,"1869,0508,0.1",,https://www.britishmuseum.org/collection/object/A_1869-0508-0-1,british_museum,False,
album / drawing / painting,painting,,19thC,,,album / drawing / painting,"1948,0710,0.34.16",https://media.britishmuseum.org/Repository/Documents/2014_10/11_22/ca2e2c89_8510_4a91_9c32_a3c1017399b5/large_00710462_001.jpg,https://www.britishmuseum.org/collection/object/A_1948-0710-0-34-16,british_museum,False,
print / album,album,,,,Found/Acquired: China,print / album,"1934,0512,0.1.1-16",https://media.britishmuseum.org/Repository/Documents/2024_9/3_8/65a92e11_3c4b_49be_b221_b1e00089df62/large_1934_0512_0_1_1_16_2.jpg,https://www.britishmuseum.org/collection/object/A_1934-0512-0-1-1-16,british_museum,False,
photographic print / album,album,,March 1937,,,photographic print / album,"1986,0313,0.1.137",https://media.britishmuseum.org/Repository/Documents/2014_10/11_10/2661933a_41a5_4c68_88ee_a3c100aff110/large_00631037_001.jpg,https://www.britishmuseum.org/collection/object/A_1986-0313-0-1-137,british_museum,False,
photographic print / album,album,,1936-1937,,,photographic print / album,"1986,0313,0.1.208",,https://www.britishmuseum.org/collection/object/A_1986-0313-0-1-208,british_museum,False,
