object_id,aligned_period
222589,Qing dynasty (c. 2016)
222663,Qing dynasty (c. 2016)
222558,Qing dynasty (c. 2016)
222555,Qing dynasty (c. 2016)
222691,Qing dynasty (c. 2016)
222603,Qing dynasty (c. 2016)
222673,Qing dynasty (c. 2016)
222573,Qing dynasty (c. 2016)
222572,Qing dynasty (c. 2016)
222644,Qing dynasty (c. 2016)
222553,Qing dynasty (c. 2016)
222582,Qing dynasty (c. 2016)
222577,Qing dynasty (c. 2016)
222626,Qing dynasty (c. 2016)
222654,Qing dynasty (c. 2016)
222605,Qing dynasty (c. 2016)
222643,Qing dynasty (c. 2016)
222621,Qing dynasty (c. 2016)
225348,Qing dynasty (c. 2016)
222596,Qing dynasty (c. 2016)
222579,Qing dynasty (c. 2016)
222550,Qing dynasty (c. 2016)
222588,Qing dynasty (c. 2016)
222637,Qing dynasty (c. 2016)
222682,Qing dynasty (c. 2016)
222630,Qing dynasty (c. 2016)
222560,Qing dynasty (c. 2016)
222564,Qing dynasty (c. 2016)
224434,Qing dynasty (c. 2018)
223191,Qing dynasty (c. 2016)
222581,Qing dynasty (c. 2016)
222607,Qing dynasty (c. 2016)
222681,Qing dynasty (c. 2016)
222657,Qing dynasty (c. 2016)
224438,Qing dynasty (c. 2018)
222615,Qing dynasty (c. 2016)
222629,Qing dynasty (c. 2016)
222690,Qing dynasty (c. 2016)
222646,Qing dynasty (c. 2016)
222622,Qing dynasty (c. 2016)
225428,Qing dynasty (c. 2016)
225291,Qing dynasty (c. 2016)
225890,Qing dynasty (c. 2016)
222570,Qing dynasty (c. 2016)
223192,Qing dynasty (c. 2016)
222628,Qing dynasty (c. 2016)
224269,Qing dynasty (c. 2016)
224288,Qing dynasty (c. 2016)
224310,Qing dynasty (c. 2016)
226380,Qing dynasty (c. 2016)
224266,Qing dynasty (c. 2016)
224059,Qing dynasty (c. 2016)
224745,Qing dynasty (c. 2016)
225033,Qing dynasty (c. 2016)
226381,Qing dynasty (c. 2016)
225555,Qing dynasty (c. 2016)
224317,Qing dynasty (c. 2016)
226394,Qing dynasty (c. 2016)
224808,Qing dynasty (c. 2016)
227536,Qing dynasty (c. 2016)
227532,Qing dynasty (c. 2016)
227537,Qing dynasty (c. 2016)
227521,Qing dynasty (c. 2016)
219172,Qing dynasty (c. 2015)
