object_id,aligned_material
224576,Unknown
225347,Unknown
218962,Unknown
221709,Unknown
224301,Unknown
224731,Unknown
224722,Unknown
222741,Unknown
220363,Unknown
224895,Unknown
220283,Unknown
220183,Unknown
219270,Unknown
225731,Unknown
224579,Unknown
224555,Unknown
225610,Unknown
224792,Unknown
225611,Unknown
224866,Unknown
220318,Unknown
218284,Unknown
218903,Unknown
226107,Unknown
220423,Unknown
227533,Unknown
225288,Unknown
219268,Unknown
224715,Unknown
225295,Unknown
216276,Unknown
224495,Unknown
218259,Unknown
218232,Unknown
218010,Unknown
220337,Unknown
216753,Unknown
215856,Unknown
218606,Unknown
224714,Unknown
224496,Unknown
217613,Unknown
218182,Unknown
220598,Unknown
220364,Unknown
224716,Unknown
224577,Unknown
220184,Unknown
224717,Unknown
224494,Unknown
220383,Unknown
225494,Unknown
220529,Unknown
219183,Unknown
219201,Unknown
224441,Unknown
224718,Unknown
219530,Unknown
217295,Unknown
224497,Unknown
224499,Unknown
224291,Unknown
220365,Unknown
217614,Unknown
216899,Unknown
220348,Unknown
226389,Unknown
218233,Unknown
216350,Unknown
215551,Unknown
226406,Unknown
225284,Unknown
216898,Unknown
225009,Unknown
218581,Unknown
217808,Unknown
216270,Unknown
219271,Unknown
214432,Unknown
217041,Unknown
215878,Unknown
224574,Unknown
217134,Unknown
214374,Unknown
214202,Unknown
224804,Unknown
219200,Unknown
211616,Unknown
216203,Unknown
218074,Unknown
218231,Unknown
224294,Unknown
215886,Unknown
215848,Unknown
215889,Unknown
223016,Unknown
215887,Unknown
224578,Unknown
218181,Unknown
214146,Unknown
211196,Unknown
224823,Unknown
225949,Unknown
225847,Unknown
225889,Unknown
225851,Unknown
225849,Unknown
225852,Unknown
225856,Unknown
225854,Unknown
225848,Unknown
225857,Unknown
225131,Unknown
225858,Unknown
225855,Unknown
225130,Unknown
225853,Unknown
214433,Unknown
214375,Unknown
220387,Unknown
219308,Unknown
224729,Unknown
212065,Unknown
210665,Unknown
214203,Unknown
210268,Unknown
210224,Unknown
210278,Unknown
208840,Unknown
210194,Unknown
224063,Unknown
209946,Unknown
209948,Unknown
211194,Unknown
225138,Unknown
210422,Unknown
224446,Unknown
209326,Unknown
210199,Unknown
212070,Unknown
210207,Unknown
224261,Unknown
210269,Unknown
210177,Unknown
209947,Unknown
224309,Unknown
222904,Unknown
218241,Unknown
209424,Unknown
218240,Unknown
210025,Unknown
224298,Unknown
218239,Unknown
218158,Unknown
210945,Unknown
210173,Unknown
210137,Unknown
220362,Unknown
214201,Unknown
212058,Unknown
210174,Unknown
218009,Unknown
212059,Unknown
213879,Unknown
214447,Unknown
219272,Unknown
226393,Unknown
208971,Unknown
225805,Unknown
226104,Unknown
215069,Unknown
225609,Unknown
210175,Unknown
225869,Unknown
226390,Unknown
224833,Unknown
219309,Unknown
218230,Unknown
219199,Unknown
225735,Unknown
225736,Unknown
227099,Unknown
210628,Unknown
225732,Unknown
225283,Unknown
210944,Unknown
225624,Unknown
210182,Unknown
226392,Unknown
218242,Unknown
210172,Unknown
197576,Unknown
210798,Unknown
218605,Unknown
210219,Unknown
213589,Unknown
198904,Unknown
210216,Unknown
212821,Unknown
212823,Unknown
213181,Unknown
212824,Unknown
210217,Unknown
210545,Unknown
197577,Unknown
207864,Unknown
210212,Unknown
224285,Unknown
210427,Unknown
210193,Unknown
210218,Unknown
217071,Unknown
218229,Unknown
210267,Unknown
210215,Unknown
220467,Unknown
224255,Unknown
210176,Unknown
198916,Unknown
208767,Unknown
210213,Unknown
198903,Unknown
210276,Unknown
212825,Unknown
217070,Unknown
220466,Unknown
225657,Unknown
25247,Silk
4942,Ivory
15010,Porcelain
7111,Ivory
15014,Porcelain
143675,Oil
15012,Porcelain
220492,Ivory
139465,Ivory
19935,Ink
73995,Ivory
22746,Silver
20000,Ink
138054,Ink
227552,Paper
198854,
60915,Wood
189775,Silver
48,Ivory
15033,Porcelain
14447,Ivory
119371,Paper
199136,Silver
32740,Watercolor
188274,Ink
147872,Ivory
75330,Wood
121044,Silver
65,Paper
139460,Ivory
139562,Ivory
48846,Gouache
266210,Porcelain
101573,Silver
109169,Ink
194369,Silver
194370,Silver
147873,Ivory
101574,Silver
135,Porcelain
111962,Ink
184562,Wood
15030,Porcelain
134,
19970,Ink
80494,Oil
38985,Paper
139470,Ivory
7934,Porcelain
191156,Wood
29530,Ivory
53832,Wood
109200,Ink
139462,Ivory
148877,Cotton
18438,Glass
101571,Silver
80112,Ink
86380,Limestone
233330,Paper
2583,Porcelain
137970,Ivory
29408,Ivory
132651,Ink
3446,Ivory
43060,Porcelain
18467,Porcelain
137976,Ivory
185963,Bronze
2728,Porcelain
46808,Silk
12270,Porcelain
12054,Earthenware
35376,Earthenware
32532,Earthenware
2511,Porcelain
4453,Limestone
109184,Ink
50502,Cotton
22042,Wood
29149,Stone
18568,Porcelain
21284,Porcelain
14460,Crystal
2344,Porcelain
190614,Ink
60912,Wood
70115,Jade
200412,Paper
15906,Silk
5006,Porcelain
15722,Copper
182878,Wood
14474,Wood
8056,Ivory
12552,Porcelain
8636,Ivory
18522,Porcelain
233322,
233328,
12476,Stoneware
12086,Bronze
27925,Bronze
21653,Stoneware
23497,Bronze
4450,Limestone
70003,Stoneware
32631,Bronze
12380,Stoneware
212904,Paper
21296,Porcelain
7931,Porcelain
48991,Earthenware
10522,Bronze
12123,Earthenware
147008,Earthenware
35367,Earthenware
12229,Earthenware
12763,Porcelain
31955,Bronze
22200,Stoneware
82071,Ivory
12284,Stoneware
12198,Earthenware
150533,Silver
15742,Copper
2532,Copper
88724,
20392,Stoneware
15910,Silk
147007,Earthenware
9734,Porcelain
233326,
199164,Silver
12491,Porcelain
73236,Earthenware
11098,Ivory
26647,Bronze
7967,Porcelain
108586,Jade
9613,Marble
55906,Bronze
12242,Earthenware
12474,Porcelain
36417,
64461,Earthenware
12485,Porcelain
7903,Porcelain
21517,Stoneware
12221,Earthenware
58159,Bronze
10489,Cotton
64435,Bronze
280345,
14644,Porcelain
32945,Stoneware
178888,Cotton
7889,Porcelain
149681,Silk
186784,Wood
151925,Silver
22732,Ivory
27741,Paper
22574,Porcelain
12986,
21366,Porcelain
8050,Ivory
15988,Ivory
12247,Earthenware
12483,Stoneware
181704,Cotton
15586,Porcelain
105944,Stoneware
21280,Porcelain
21644,Stoneware
12945,
63513,Paper
21289,Porcelain
12183,Stoneware
90303,Porcelain
65914,Wood
21375,Porcelain
21363,Porcelain
11140,Ivory
21531,Stoneware
12099,Earthenware
21238,Porcelain
12634,Bronze
21721,Stoneware
41910,Porcelain
21187,Porcelain
21313,Porcelain
18014,Nephrite
18582,Porcelain
47168,Ivory
7925,Porcelain
33997,Limestone
79895,Ivory
3330,Bronze
36418,
142531,Limestone
12119,Earthenware
21241,Porcelain
53517,Stoneware
22708,Ivory
73254,Stoneware
111365,Paper
42879,Porcelain
21282,Porcelain
12059,Bronze
2517,Porcelain
35381,Earthenware
83812,Ivory
60877,Silver
18473,Porcelain
49603,Earthenware
8093,Ivory
7521,Bronze
26882,Jade
22725,Ivory
74965,Ivory
59461,Earthenware
23502,Bronze
73201,Bronze
99658,Copper
22210,Earthenware
109689,Ivory
5918,Bronze
28487,Copper
14811,Bronze
183894,Bronze
22744,Ivory
12981,Wood
70117,Jade
32492,Wood
42271,Earthenware
12636,Bronze
89452,Bronze
12622,Porcelain
42786,Porcelain
53544,Silver
108598,Ivory
12688,Paper
59464,Stoneware
23651,Paper
192727,Bone
65902,Wood
69711,Jade
156446,Paper
12013,Earthenware
28106,Copper
59448,Stoneware
11497,Ivory
79318,Paper
21208,Porcelain
263123,Ink
28158,Bronze
12028,Earthenware
28109,Copper
28125,Bronze
12640,Bronze
24960,Wood
80882,Porcelain
2528,Porcelain
235667,Porcelain
86391,Bronze
10393,Porcelain
14803,Earthenware
21212,Porcelain
21408,Porcelain
22711,Ivory
21511,Stoneware
12214,Earthenware
180744,Earthenware
152849,Iron
21418,Porcelain
21483,Porcelain
3333,Bronze
45464,Stoneware
11690,Limestone
30214,Earthenware
15732,Brass
12407,Porcelain
183277,Ink
142528,Limestone
27507,Bronze
12561,Porcelain
199163,Silver
260343,Porcelain
270889,
270890,
79315,Ivory
21702,Earthenware
12616,Porcelain
14319,Ivory
42541,Porcelain
12145,Earthenware
79309,Ivory
9611,Bronze
2508,Porcelain
75905,Porcelain
11125,Ivory
34078,Bronze
12786,Earthenware
12741,Porcelain
8099,Paper
20561,Paper
35384,Earthenware
7544,Bronze
21745,Stoneware
76279,Ink
68830,Silk
21292,Porcelain
68715,Jade
79322,Ivory
21481,Stoneware
105595,Earthenware
111862,Ivory
192877,Ivory
8076,Paper
109230,Bronze
12497,Porcelain
198345,Bronze
37729,Earthenware
133834,Paper
48321,Paper
16811,Silver
70169,Jade
21341,Stoneware
12731,Porcelain
12735,Stoneware
70207,
14329,Ivory
8037,Gold
21423,Stoneware
7514,Bronze
73796,Ivory
12359,Porcelain
111366,Paper
233329,
70093,Jade
22729,Ivory
70129,Jade
129758,Earthenware
39534,Ivory
73220,Bronze
9059,Paper
34075,Bronze
21514,Stoneware
15563,Linen
107043,Pastel
22718,Ivory
75521,Gold
8087,Ivory
18019,Porcelain
12132,Earthenware
21220,Porcelain
47953,Earthenware
69180,Jade
89655,Jade
23144,Bronze
69810,Jade
12409,Porcelain
51834,Earthenware
91085,Earthenware
22722,Ivory
