object_id,title,description,dimensions,accession_number,detail_url,image_url,aligned_period,aligned_type,aligned_material,data_quality_score
69338,San Francisco,,,x1980-2928,https://artmuseum.princeton.edu/art/collections/69338,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03578,Qing dynasty (c. 1952),Unknown,Silver,0.65
69326,"Robert Layton, San Francisco",,,x1980-2916,https://artmuseum.princeton.edu/art/collections/69326,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03529,Qing dynasty (c. 1952),Unknown,Silver,0.65
69321,"Fisherman's Wharf, San Francisco",,,x1980-2908,https://artmuseum.princeton.edu/art/collections/69321,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03537,Qing dynasty (c. 1952),Unknown,Silver,0.65
69315,San Francisco,,,x1980-2892,https://artmuseum.princeton.edu/art/collections/69315,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03551,Qing dynasty (c. 1952),Unknown,Silver,0.65
69300,"John Chase, San Francisco",,,x1980-3022,https://artmuseum.princeton.edu/art/collections/69300,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03502,Qing dynasty (c. 1952),Unknown,Silver,0.65
69299,"John Chase, San Francisco",,,x1980-3021,https://artmuseum.princeton.edu/art/collections/69299,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03501,Qing dynasty (c. 1952),Unknown,Silver,0.65
69298,"John Chase, San Francisco",,,x1980-3020,https://artmuseum.princeton.edu/art/collections/69298,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03500,Qing dynasty (c. 1952),Unknown,Silver,0.65
69296,"Valentina Oumansky, San Francisco",,,x1980-3003,https://artmuseum.princeton.edu/art/collections/69296,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03486,Qing dynasty (c. 1952),Unknown,Silver,0.65
69286,The Interplayers: The Lady from the Sea,,,x1980-2505,https://artmuseum.princeton.edu/art/collections/69286,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03465,Qing dynasty (c. 1950),Unknown,Silver,0.65
69284,The Interplayers: The Lady from the Sea,,,x1980-2503,https://artmuseum.princeton.edu/art/collections/69284,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03469,Qing dynasty (c. 1950),Unknown,Silver,0.65
69283,The Interplayers: The Lady from the Sea,,,x1980-2502,https://artmuseum.princeton.edu/art/collections/69283,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03471,Qing dynasty (c. 1950),Unknown,Silver,0.65
69274,The Interplayers: The Lady from the Sea,,,x1980-2493,https://artmuseum.princeton.edu/art/collections/69274,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03438,Qing dynasty (c. 1950),Unknown,Silver,0.65
69271,The Interplayers: The Lady from the Sea,,,x1980-2490,https://artmuseum.princeton.edu/art/collections/69271,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03442,Qing dynasty (c. 1950),Unknown,Silver,0.65
69267,The Interplayers: The Lady from the Sea,,,x1980-2486,https://artmuseum.princeton.edu/art/collections/69267,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03449,Qing dynasty (c. 1950),Unknown,Silver,0.65
